name,title,activity_period,notable_deeds
殷汝耕,伪冀东防共自治政府政务长官,1935-1938,1935年11月在通州成立伪冀东防共自治政府，管辖包括秦皇岛、北戴河在内的冀东22县，公开投敌，为日军提供行政和资源支持。
池宗墨,伪冀东防共自治政府秘书长/代理政务长官,1935-1938,殷汝耕的主要助手，参与伪政府运作，后代理政务长官，协助日军控制冀东地区，包括秦皇岛、北戴河一带。
王厦材,伪冀东防共自治政府民政厅长,1935-1938,负责伪政府民政事务，推行日伪统治政策，在秦皇岛、北戴河等地实施保甲制度，镇压抗日活动。
张仁蠡,伪冀东防共自治政府财政厅长,1935-1938,为伪政府筹措经费，征收苛捐杂税，搜刮秦皇岛、北戴河地区民财，支持日军经济掠夺。
李景明,伪冀东防共自治政府教育厅长,1935-1938,推行奴化教育，在秦皇岛、北戴河等地学校强制灌输亲日思想，破坏中国教育体系。
赵雷,伪冀东保安队司令,1935-1938,指挥伪冀东保安队，协助日军维持治安，在秦皇岛、北戴河地区镇压抗日武装，抓捕爱国人士。
李海天,伪冀东保安队副司令,1935-1938,协助赵雷指挥伪军，参与对秦皇岛、北戴河周边抗日游击队的围剿行动。
刘锡九,伪秦皇岛警察局局长,1937-1945,在秦皇岛地区为日军效劳，指挥伪警察搜捕抗日分子，协助日军控制港口和交通要道。
张化南,伪北戴河海滨自治区区长,1938-1945,在北戴河地区推行日伪统治，管理海滨区域，为日军高级军官提供度假服务，协助监视外国侨民和抗日活动。
杨玉昆,伪临榆县（含山海关、秦皇岛）知事,1938-1945,担任伪临榆县知事，管辖山海关、秦皇岛一带，推行日伪法令，强征劳工，为日军修建军事设施。
陈志远,伪抚宁县（含北戴河部分区域）知事,1939-1945,在抚宁县及北戴河周边地区为日军征粮派款，组织伪自卫团，协助日军扫荡抗日根据地。
高伯勋,伪冀东道公署参事,1938-1945,参与伪冀东道政务，协调秦皇岛、北戴河地区的日伪行政，为日军提供情报。
王克敏,伪华北政务委员会委员长（影响河北地区）,1937-1945,作为华北伪政权最高头目，其政策覆盖秦皇岛、北戴河地区，支持日军在当地的殖民统治和经济掠夺。
齐燮元,伪华北治安军总司令,1937-1945,指挥华北伪治安军，在河北包括秦皇岛、北戴河地区多次配合日军进行“扫荡”，屠杀抗日军民。
杜锡钧,伪华北治安军副总司令,1937-1945,协助齐燮元指挥伪军，在秦皇岛、北戴河一带驻扎伪军部队，参与镇压抗日力量。
门致中,伪冀东保安队改编后指挥官,1938-1945,在冀东地区（含秦皇岛、北戴河）指挥伪军，配合日军进行“治安强化运动”，残害百姓。
李元亨,伪秦皇岛商会会长,1938-1945,充当日军经济汉奸，控制秦皇岛商业，为日军收购战略物资，强迫商户捐款。
孙仲文,伪北戴河盐务局局长,1939-1945,管理北戴河地区盐业，为日军垄断盐业资源，剥削盐民，提供军需用盐。
周文贵,伪秦皇岛港务局局长,1938-1945,协助日军控制秦皇岛港口，管理港口运输，为日军运送兵员和物资，出卖港口权益。
马廷福,伪临榆县保安大队长,1939-1945,在秦皇岛、山海关地区指挥伪保安队，协助日军清乡，抓捕抗日群众，抢掠财物。
