name,title,activity_period,notable_deeds
朱欣陶,昌黎县伪县长,1938-1945,任昌黎县伪县长期间，推行日伪统治政策，协助日军征粮、抓夫，镇压抗日活动。
张海鹏,伪冀东防共自治政府保安队头目（活动于昌黎一带）,1935-1938,参与冀东伪政权，在昌黎、秦皇岛地区协助日军维持治安，围剿抗日武装。
李际春,伪冀东保安队指挥官（驻秦皇岛、昌黎）,1935-1940,率伪军配合日军扫荡昌黎、抚宁等地，残害抗日军民。
赵雷,伪冀东自治政府昌黎县警察局长,1937-1943,组织伪警察抓捕抗日地下人员，向日军提供情报，参与“治安强化运动”。
王伯骧,伪昌黎县知事（后任伪冀东道尹）,1938-1944,在昌黎推行保甲制度，强征民夫修筑炮楼，协助日军掠夺粮食。
刘佐周,伪冀东保安队第三总队长（活动于秦皇岛、昌黎）,1935-1938,率部驻防昌黎、滦县一带，多次袭击抗日游击队，后被抗日志士击毙。
殷汝耕,伪冀东防共自治政府委员长（管辖昌黎、秦皇岛）,1935-1938,建立冀东伪政权，将昌黎、秦皇岛等地置于日伪统治下，推行奴化教育。
池宗墨,伪冀东防共自治政府秘书长（后任伪昌黎县顾问）,1935-1940,协助殷汝耕管理冀东，在昌黎地区策划“清乡”行动。
韩则信,伪昌黎县维持会会长,1937-1939,日军侵占昌黎后组织维持会，为日军筹粮派款，协助建立伪政权。
张庆余,伪冀东保安队第一总队长（曾驻昌黎）,1935-1937,在昌黎、秦皇岛地区执行日伪命令，镇压抗日民众，后反正但影响有限。
李守信,伪蒙古军总司令（曾参与冀东日伪军事行动，涉及昌黎）,1933-1945,率伪蒙古军配合日军在冀东包括昌黎地区进行扫荡。
赵欣伯,伪冀东防共自治政府顾问（活动涉及秦皇岛）,1935-1940,为日伪政权出谋划策，参与对昌黎、秦皇岛的经济掠夺。
袁文会,伪昌黎县商会会长（汉奸商人）,1938-1945,为日军收购军粮，垄断物资，资助伪军，剥削百姓。
王克敏,伪中华民国临时政府行政委员会委员长（管辖河北含昌黎）,1937-1940,在北平建立伪政权，统辖河北各地包括昌黎，推行亲日政策。
齐燮元,伪华北治安军总司令（在昌黎、秦皇岛驻有治安军）,1939-1945,指挥伪治安军在昌黎、秦皇岛地区“扫荡”，杀害抗日军民。
杜锡钧,伪冀东道尹（管辖昌黎县）,1940-1944,在冀东推行“治安肃正”，强化昌黎等县的伪政权统治。
姜鹏飞,伪冀东特别行政区行政长官（活动涉及昌黎）,1942-1945,在冀东包括昌黎地区组织伪军，配合日军进行“大扫荡”。
张仁蠡,伪昌黎县新民会会长,1939-1945,负责在昌黎推行奴化宣传，组织“新民会”刺探抗日情报。
李荫坡,伪秦皇岛警察署署长（管辖昌黎沿海）,1938-1945,在秦皇岛、昌黎沿海地区协助日军封锁港口，抓捕抗日人员。
高德林,伪冀东保安队团长（驻昌黎）,1937-1943,率伪军在昌黎县内烧杀抢掠，参与多次“清乡”行动。
