name,title,activity_period,notable_deeds
张伯华,伪卢氏县维持会会长,1944年-1945年,日军侵占卢氏期间，出面组织伪维持会，为日军征派粮秣、民夫，协助维持占领秩序。
李振西,伪陕州维持会会长,1944年-1945年,在陕州（今三门峡陕州区）组织伪维持会，配合日军统治，摊派钱粮、拉夫修路。
王化南,伪灵宝县维持会会长,1944年-1945年,灵宝沦陷期间出面组织维持会，为日军筹集物资、维持地方伪秩序。
刘子久,伪豫西道尹公署道尹,1944年-1945年,日军在豫西设立伪道尹公署，统辖陕州、卢氏、灵宝等县伪政权，推行保甲、征粮拉夫。
赵子立,伪河南剿共军豫西支队司令,1944年-1945年,收编地方土匪武装，配合日军对豫西抗日根据地扫荡，袭击抗日军民。
陈子明,伪卢氏县警察局局长,1944年-1945年,在卢氏沦陷期间充任伪警察头目，协助日军搜捕抗日人员，镇压民众反抗。
孙殿英,伪新编第五军军长（降日）,1943年-1945年,1943年率部投降日军，所部驻防豫西、豫北一带，配合日军进攻抗日根据地，活动范围覆盖三门峡周边。
庞炳勋,伪第二十四集团军总司令（降日）,1943年-1945年,1943年降日，被汪伪政权任命为伪军头目，所部在豫北、豫西活动，与日军协同作战。
李守信,伪蒙古军总司令（降日）,1933年-1945年,长期充任伪蒙军头目，配合日军在华北包括河南北部地区进行侵略活动。
张岚峰,伪和平救国军第一军军长,1943年-1945年,在豫东、豫南一带组织伪军，配合日军扫荡，其势力范围一度延伸至豫西边缘。
郝鹏举,伪淮海省省长兼保安司令,1943年-1945年,在汪伪政权下任伪职，所部在苏鲁豫皖边区活动，配合日军对河南抗日力量进行清剿。
吴化文,伪和平建国军第三方面军总司令,1943年-1945年,率部降日后在山东、河南交界地区活动，配合日军扫荡抗日根据地。
