name,title,activity_period,notable_deeds
张伯英,伪陕县维持会会长,1944年-1945年,日军侵占陕县后，出面组织伪维持会，协助日军征粮、派夫、维持地方秩序，为日军统治服务。
李仰之,伪陕县县长,1944年-1945年,在日军占领陕县期间出任伪县长，主持伪县政，配合日军推行保甲、征发物资。
王化南,伪陕县警察局局长,1944年-1945年,充任伪警察头目，协助日军搜捕抗日人员，维持占领区治安。
刘子久,伪灵宝县维持会会长,1944年-1945年,灵宝沦陷期间组织伪维持会，为日军筹粮筹款，压迫当地民众。
陈子明,伪灵宝县县长,1944年-1945年,日军占领灵宝后出任伪县长，推行伪政，协助日军控制地方。
赵子杰,伪渑池县维持会会长,1944年-1945年,渑池沦陷后组织维持会，为日军服务，征派民夫、粮食。
张耀东,伪渑池县县长,1944年-1945年,出任伪县长，配合日军统治，镇压抗日活动。
孙殿英,伪新编第五军军长（降日）,1943年-1945年,原国民党军将领，1943年在河南林县率部降日，所部被编为伪军，活动于豫北、豫西一带，配合日军进攻抗日根据地。
庞炳勋,伪第二十四集团军总司令（降日）,1943年-1945年,原国民党军将领，1943年在河南降日，任伪职，率伪军配合日军在豫北、豫西地区作战。
李振亚,伪河南全省警务处处长,1940年-1945年,在伪河南省政府任职，掌管伪警察系统，协助日军维持占领区统治。
陈静斋,伪河南省省长,1940年-1945年,出任伪河南省省长，为日军在河南的统治服务，推行伪政。
田文炳,伪河南省政府委员兼民政厅厅长,1940年-1945年,在伪河南省政府中任职，协助日军推行保甲、征发等政策。
王敬轩,伪豫西道尹,1944年-1945年,日军占领豫西后出任伪道尹，管辖陕县、灵宝、渑池等地伪政，为日军服务。
张子厚,伪豫西道警务专员,1944年-1945年,在豫西伪道任职，负责警务，协助日军搜捕抗日人员。
