name,title,activity_period,notable_deeds
张启璜,伪信阳县维持会会长,1938-1945,日军侵占信阳后出面组织伪维持会，协助日军维持占领秩序、征派粮款与民夫，为伪政权在信阳城区及近郊的统治服务。
李德斋,伪信阳县公署县知事,1939-1945,在日伪扶植下出任伪信阳县知事，推行伪政令，配合日军清乡、征粮、编组保甲，镇压抗日活动。
王老五,伪军保安队头目,1938-1945,在信阳一带收编地痞流氓组成伪保安队，配合日军下乡扫荡，搜捕抗日人员，勒索百姓。
陈少康,伪信阳警察局警官,1939-1945,在伪信阳警察系统任职，参与侦缉、逮捕抗日嫌疑人员，协助日军管控城市户口与交通。
刘子厚,伪豫南道尹公署职员,1940-1945,在伪豫南道伪政权中任职，参与推行日军“治安强化运动”，协调信阳周边各县伪政权征粮、派夫。
赵子明,伪信阳县教育科督学,1940-1945,在伪教育系统推行奴化教育，强制学校使用日伪教材，宣传“大东亚共荣”，毒化青年。
孙耀庭,伪信阳商会会长,1938-1945,出面组织伪商会，为日军筹款筹物，强制商户交纳“治安费”，配合日伪经济统制。
胡文轩,伪保长,1938-1945,在信阳近郊充当伪保长，负责摊派捐税、监视村民动向，向日军报告抗日人员行踪。
周德胜,伪军团长,1941-1945,率伪军在信阳、罗山、确山一带配合日军扫荡，袭击抗日根据地，抢掠粮食牲畜。
吴子敬,伪信阳县合作社理事长,1940-1945,控制伪合作社，低价强购农民粮食棉花，供应日军军需，盘剥当地民众。
