name,title,activity_period,notable_deeds
张岚峰,伪豫东剿共军总司令、伪和平救国军第一军军长、伪第四方面军总司令,1938-1945,河南柘城人，抗战期间投靠日军，在豫东、豫南一带组织伪军，配合日军进攻抗日根据地，长期控制商丘、开封及豫东地区，其势力范围一度延伸至南阳周边。
孙殿英,伪新编第五军军长、伪第二十四集团军副总司令,1943-1945,河南永城人，1943年在河南林县被日军俘虏后投敌，所部被编为伪军，在豫北、豫西一带配合日军行动，对河南抗日力量造成危害。
庞炳勋,伪第二十四集团军总司令、伪开封绥靖公署主任,1943-1945,1943年在河南林县被俘后投敌，任伪职，在河南境内协助日军维持占领区秩序，参与对抗日根据地的扫荡。
李守信,伪蒙古军总司令、伪蒙古联合自治政府副主席,1933-1945,长期在内蒙古及华北地区为日军效力，其伪军活动范围涉及河南北部，配合日军对河南抗日根据地的进攻。
王揖唐,伪华北政务委员会委员长、伪内务总署督办,1937-1945,安徽合肥人，抗战期间在华北伪政权中担任要职，推行日军侵略政策，其伪政权管辖范围包括河南北部，对河南沦陷区实施殖民统治。
陈静斋,伪河南省省长、伪河南省公署省长,1938-1945,抗战期间任伪河南省省长，在开封等地设立伪政权，推行日军政策，征发劳役、搜刮物资，配合日军对河南各地的控制，其伪政权影响覆盖南阳周边地区。
田文炳,伪河南省公署警务厅厅长、伪河南省省长,1940-1945,在伪河南省政权中历任警务厅长、省长等职，协助日军维持河南沦陷区治安，镇压抗日活动，其警务系统延伸至南阳地区。
赵筱三,伪南阳维持会会长,1945,1945年日军侵占南阳期间，出面组织伪南阳维持会，为日军筹粮筹款、维持秩序，协助日军控制南阳城区。
李兴甫,伪南阳县维持会会长,1945,1945年日军占领南阳时，组织伪南阳县维持会，配合日军征发民夫、物资，维持日占区统治。
王少堂,伪南阳警察局局长,1945,1945年日军侵占南阳后，出任伪南阳警察局局长，协助日军维持城区治安，搜捕抗日人员。
张子杰,伪南阳保安团团长,1945,1945年南阳沦陷期间，组织伪保安团，配合日军对南阳周边地区进行扫荡，镇压抗日武装。
刘汝明,伪南阳地区维持会联合会会长,1945,1945年日军侵占南阳后，联络南阳各县维持会，成立伪联合会，为日军筹办粮秣、夫役，协助日军统治南阳地区。
马文甫,伪南阳县教育科科长,1945,1945年南阳沦陷期间，在伪政权中负责教育事务，推行奴化教育，宣传“大东亚共荣圈”，毒害青年学生。
杨子才,伪南阳商会会长,1945,1945年日军占领南阳后，出任伪商会会长，为日军筹款筹物，协助日军对南阳工商业进行掠夺。
赵子立,伪南阳地区保甲长,1945,1945年南阳沦陷期间，担任伪保甲长，协助日军清查户口、征发劳役、搜捕抗日人员。
王金声,伪南阳地区保甲长,1945,1945年南阳沦陷期间，担任伪保甲长，为日军征粮征夫，监视居民行动，向日军报告抗日活动。
李德明,伪南阳地区维持会文书,1945,1945年南阳沦陷期间，在伪维持会中担任文书，协助日军登记物资、人口，为日军统治提供情报。
张海涛,伪南阳地区翻译官,1945,1945年日军侵占南阳期间，担任日军翻译，协助日军与当地伪政权沟通，参与审讯抗日人员。
刘桂堂,伪军旅长、伪和平救国军师长,1937-1943,山东人，长期在河南、山东交界地区为日军效力，组织伪军配合日军扫荡，其活动范围涉及豫西、豫南，对南阳周边地区造成威胁。
张步云,伪和平救国军第二军军长,1938-1945,在河南东部、南部组织伪军，配合日军进攻抗日根据地，其伪军活动曾延伸至南阳地区。
