name,title,activity_period,notable_deeds
张岚峰,伪和平救国军第一军军长、伪第四方面军总司令、伪河南省省长,1938-1945,河南柘城人，抗战期间投靠日军，在豫东、豫南一带组织伪军，配合日军进攻抗日根据地；后任伪河南省省长，推行伪化统治，为日军征粮、征丁、维持治安。其伪军活动范围覆盖河南大部，对南阳地区亦有影响。
孙良诚,伪和平救国军第二方面军总司令、伪开封绥靖公署主任,1942-1945,原西北军将领，1942年率部投敌，任伪第二方面军总司令，驻防河南开封、商丘一带，配合日军扫荡豫东、豫南抗日武装，其势力范围涉及南阳周边地区。
庞炳勋,伪和平救国军第二十四集团军总司令、伪河南省政府委员,1943-1945,原国民党河北省政府主席、第24集团军总司令，1943年在河南林县被俘后投敌，任伪第二十四集团军总司令，驻防豫北、豫东，配合日军进攻河南抗日根据地，对南阳地区亦有间接影响。
李守信,伪蒙古军总司令、伪河南省保安司令,1933-1945,内蒙古人，早年在热河投敌，后任伪蒙古军总司令；1944年后被派往河南任伪保安司令，协助日军维持河南占领区治安，其活动涉及豫南、豫西南地区。
王揖唐,伪华北政务委员会委员长、伪河南省政府省长,1937-1945,安徽合肥人，北洋政客，抗战期间投敌，任伪华北政务委员会委员长，后兼任伪河南省省长，推行奴化教育、经济掠夺，其伪政权统治覆盖河南全境，包括南阳地区。
陈静斋,伪河南省政府省长、伪豫北道尹,1938-1945,河南安阳人，抗战初期即投敌，历任伪豫北道尹、伪河南省省长，在河南推行伪化行政，为日军征集物资、劳工，其伪政权体系延伸至南阳各县。
赵毓英,伪南阳维持会会长、伪南阳县县长,1945,南阳本地士绅，1945年日军侵占南阳时出面组织维持会，任伪南阳县县长，协助日军维持城区秩序、征粮征夫，是南阳地区直接附逆的代表人物。
李成林,伪南阳警察局局长,1945,1945年日军占领南阳期间，出任伪南阳警察局局长，协助日军搜捕抗日人员、维持治安，镇压民众反抗。
马文德,伪南阳保安团团长,1945,南阳地方武装头目，1945年投靠日军，任伪南阳保安团团长，配合日军扫荡南阳周边抗日武装，为日军提供情报和向导。
张子厚,伪南阳县教育科科长,1945,南阳教育界人士，1945年日军占领南阳后出任伪教育科科长，推行奴化教育，篡改教材，向学生灌输亲日思想。
王少白,伪南阳商会会长,1945,南阳商界人物，1945年日军占领南阳后出任伪商会会长，为日军筹款筹粮，协助日军控制南阳经济命脉。
刘汝明,伪豫南道尹、伪信阳维持会会长,1938-1945,河南信阳人，抗战期间投敌，任伪豫南道尹，管辖信阳、南阳部分区域，组织维持会，为日军征粮征丁，配合日军扫荡豫南抗日根据地。
吴化文,伪和平救国军第三方面军总司令,1943-1945,原国民党新编第四师师长，1943年投敌，任伪第三方面军总司令，驻防河南东部、南部，配合日军进攻豫南、豫西南抗日武装，其部队曾活动于南阳周边。
郝鹏举,伪淮海省省长、伪保安司令,1943-1945,原国民党将领，1943年投敌，任伪淮海省省长，管辖苏北、皖北、豫东部分地区，配合日军扫荡抗日根据地，其势力范围与南阳地区有间接关联。
荣臻,伪河南省政府委员、伪豫东道尹,1938-1945,原东北军将领，抗战期间投敌，任伪豫东道尹、伪河南省政府委员，在豫东推行伪化统治，为日军征集物资，其伪政权体系与南阳地区有行政关联。
