name,title,activity_period,notable_deeds
张岚峰,伪和平救国军第一军军长、伪第四方面军总司令、伪河南省省长,1938-1945,河南柘城人，抗战期间投靠日军，在豫东、豫南一带组织伪军，配合日军进攻抗日根据地，后任伪河南省省长，是河南地区影响较大的汉奸之一。
孙殿英,伪新编第五军军长、伪第二十四集团军副总司令,1943-1945,原国民党军将领，1943年在河南林县一带被日军俘虏后投敌，所部被编为伪军，驻防豫北、豫西地区，配合日军扫荡。
庞炳勋,伪第二十四集团军总司令、伪开封绥靖公署主任,1943-1945,原国民党河北省政府主席、第二十四集团军总司令，1943年在河南林县被俘后投降日军，任伪职，在豫北、豫东地区协助日军维持统治。
李守信,伪蒙古军总司令、伪蒙古联合自治政府副主席,1933-1945,热河人，长期在伪蒙疆政权任职，其伪军活动范围涉及华北，包括河南北部边缘地区，配合日军作战。
王揖唐,伪华北政务委员会委员长、伪内务总署督办,1937-1945,安徽合肥人，北洋政客，抗战期间投敌，任伪华北政务委员会要职，其伪政权管辖范围包括河南北部，推行奴化教育、经济掠夺。
王克敏,伪中华民国临时政府行政委员会委员长、伪华北政务委员会委员长,1937-1945,浙江杭县人，抗战期间组织伪临时政府，管辖华北包括河南部分地区，协助日军掠夺资源、镇压抗日活动。
梁鸿志,伪中华民国维新政府行政院院长、伪监察院院长,1938-1945,福建长乐人，组织伪维新政府，其势力范围涉及华中、华东，与河南南部地区有间接关联，后并入汪伪政权。
陈公博,伪立法院院长、伪行政院院长、伪国民政府代主席,1938-1945,广东乳源人，汪伪政权核心人物，其伪政权统治范围包括河南部分地区，推行亲日政策，镇压抗日力量。
周佛海,伪财政部长、伪警政部长、伪上海市长,1938-1945,湖南沅陵人，汪伪政权核心成员，参与伪政权对包括河南在内的沦陷区进行经济掠夺和特务统治。
鲍文樾,伪河南省政府主席、伪开封绥靖公署主任,1940-1945,辽宁辽城人，原东北军将领，投敌后任伪河南省政府主席，在开封等地主持伪政，配合日军维持河南沦陷区统治。
陈静斋,伪河南省政府省长、伪豫北道尹,1938-1945,河南人，抗战期间投敌，在豫北地区任伪道尹、伪省长，协助日军征粮、抓丁，镇压抗日民众。
赵筱三,伪南阳维持会会长,1945,南阳地区维持会头目，1945年日军侵占南阳时出面组织维持会，为日军筹粮、派夫，协助维持地方治安。
李兴甫,伪镇平县维持会会长,1945,镇平县人，1945年日军入侵镇平期间组织维持会，为日军服务，协助征粮、派款，维持伪秩序。
王少堂,伪南阳县政府县长,1945,日军占领南阳后任伪县长，协助日军推行保甲制度，征发民夫，镇压抗日活动。
张子修,伪镇平县保安团团长,1945,镇平人，抗战末期投靠日军，组织伪保安团，配合日军扫荡当地抗日武装。
刘汝明,伪豫南道尹,1938-1945,在豫南地区任伪道尹，管辖包括南阳部分区域，协助日军进行经济掠夺和治安维持。
田文炳,伪河南省警务处处长,1940-1945,在伪河南省政府任职，掌管伪警察系统，在开封及河南沦陷区镇压抗日分子，配合日军特务活动。
申振纲,伪河南省政府委员、伪豫东道尹,1938-1945,河南人，投敌后任伪道尹、伪省政府委员，在豫东地区协助日军征粮、派款，推行奴化教育。
胡毓坤,伪河南省政府委员、伪豫北道尹,1938-1945,在豫北地区任伪职，协助日军维持统治，参与经济掠夺和镇压抗日活动。
张英华,伪河南省政府财政厅厅长,1940-1945,在伪河南省政府掌管财政，为日军筹措军费，掠夺河南物资。
