name,title,activity_period,notable_deeds
张岚峰,伪和平救国军第一军军长、伪第四方面军总司令、伪河南省政府豫东道尹,1938-1945,河南柘城人，抗战期间在豫东周口、商丘一带组织伪军，投靠日军，配合日军进攻抗日根据地，统治豫东伪政权，其势力范围覆盖周口及郸城周边地区。
李振亚,伪郸城县维持会会长,1938-1945,郸城沦陷后出面组织维持会，为日军征粮派款、维持地方伪秩序，协助日军控制郸城及周边乡镇。
王老五,伪郸城县保安团团长,1939-1945,在郸城一带收编土匪武装，投靠日军，编为伪保安团，配合日军扫荡抗日武装，残害地方抗日群众。
刘子仁,伪豫东道公署道尹、伪河南省政府委员,1938-1945,在豫东周口、商丘地区依附日军，主持伪道公署，推行保甲连坐，为日军征集物资、劳工，镇压抗日活动。
胡毓坤,伪和平救国军第一军副军长、伪苏豫边区绥靖军总司令,1938-1945,在豫东、皖北一带活动，与张岚峰部配合，在周口、郸城周边地区进行伪化统治和军事扫荡。
宋克宾,伪商丘县知事、伪豫东道尹公署参事,1938-1945,在豫东地区为日军推行伪政，协助征粮征兵，其活动范围涉及周口北部及郸城邻近地区。
陈扶民,伪淮阳县维持会会长、伪淮阳县知事,1938-1945,淮阳沦陷后组织维持会，后任伪县知事，为日军统治周口一带效力，征发民夫、物资，镇压抗日群众。
张占魁,伪鹿邑县保安大队大队长,1939-1945,在鹿邑、郸城交界地区活动，率伪军配合日军扫荡，袭击抗日游击队，残害百姓。
李宣德,伪沈丘县维持会会长,1938-1945,在沈丘一带组织伪维持会，为日军筹粮筹款，协助日军控制沙河沿岸地区，影响波及郸城南部。
高德林,伪豫东剿共军司令,1939-1945,在豫东周口、开封之间活动，收编土匪伪军，配合日军进攻抗日根据地，其势力一度延伸至郸城周边。
