name,title,activity_period,notable_deeds
张岚峰,伪和平救国军第一军军长、伪第四方面军总司令、伪河南省政府豫东道尹,1938-1945,柘城人，抗战期间投靠日军，在商丘、柘城、鹿邑、亳州一带组建伪军，配合日军扫荡豫东抗日根据地，搜捕抗日人员，强征粮款，是豫东地区最具实力的汉奸武装头目。
王金铎,伪商丘县维持会会长、伪商丘县县长,1938-1945,商丘沦陷后出面组织维持会，协助日军建立伪政权，推行保甲连坐，征发民夫物资，镇压抗日活动。
刘子仁,伪豫东道尹公署道尹、伪商丘县知事,1938-1944,在商丘地区主持伪道尹公署，统辖豫东各县伪政权，配合日军推行治安强化运动，掠夺粮食棉花等物资。
李振西,伪柘城县维持会会长、伪柘城县县长,1938-1945,柘城沦陷后投敌，组织维持会，为日军征集粮秣、修筑据点，协助日军对柘城及周边地区进行清乡。
宋子贤,伪柘城县保安团团长,1939-1945,在柘城地区组建伪保安团，配合日军扫荡，袭击地方抗日武装，残害抗日群众。
陈敬斋,伪河南省政府委员、伪豫东道尹,1938-1945,在河南伪政权中任职，参与推行日军殖民统治政策，协助征粮征兵，镇压河南抗日力量。
赵筱三,伪商丘县警察局局长,1938-1945,掌管商丘伪警察系统，搜捕抗日人士，监控民众，配合日军维持占领区治安。
王敬轩,伪豫东道尹公署教育科科长,1939-1945,在豫东推行奴化教育，篡改教材，宣传所谓大东亚共荣，毒化青年思想。
张子超,伪商丘县商会会长,1938-1945,协助日军控制商丘物资流通，为日军采购军需，压榨商户，配合经济掠夺。
刘明德,伪柘城县警察所所长,1940-1945,在柘城地区带领伪警察配合日军行动，抓捕抗日人员，勒索百姓。
