name,title,activity_period,notable_deeds
张岚峰,伪和平救国军第一军军长、伪第四方面军总司令、伪河南省政府豫东道尹,1938-1945,商丘柘城人，抗战期间在豫东商丘一带组织伪军，先后投靠日军、汪伪政权，任伪和平救国军第一军军长、伪第四方面军总司令等职，长期盘踞商丘、柘城、鹿邑、亳县一带，配合日军进攻抗日根据地，征粮抓丁，残害民众。
王金铎,伪商丘县维持会会长、伪商丘县县长,1938-1945,商丘沦陷后出面组织维持会，后任伪商丘县县长，为日军筹粮筹款、维持伪秩序，协助日军统治商丘城区及周边地区。
李寿山,伪商丘县警察局局长,1938-1945,在商丘沦陷期间任伪警察头目，配合日军搜捕抗日人员，镇压民众反抗，维持伪政权治安。
刘子仁,伪豫东道尹公署道尹,1938-1945,汪伪政权在豫东设立道尹公署，刘子仁曾任伪道尹，驻商丘，统辖豫东各县伪政权，推行日军殖民统治政策。
宋子贤,伪鹿邑县县长,1938-1945,鹿邑沦陷后任伪县长，依附日军，在鹿邑及邻近商丘地区推行伪化统治，为日军征粮征夫。
张子超,伪睢县维持会会长、伪睢县县长,1938-1945,睢县沦陷后组织维持会，后任伪县长，配合日军在睢县、商丘一带进行统治和扫荡。
陈敬斋,伪夏邑县县长,1938-1945,夏邑沦陷后任伪县长，为日军筹办粮秣，协助日军维持夏邑及商丘周边地区治安。
赵子明,伪永城县县长,1938-1945,永城沦陷后任伪县长，依附日军，在永城、商丘一带推行伪化政策，配合日军扫荡抗日武装。
王敬斋,伪虞城县维持会会长,1938-1945,虞城沦陷后组织维持会，为日军筹集物资，协助日军控制虞城及商丘东部地区。
李振西,伪宁陵县县长,1938-1945,宁陵沦陷后任伪县长，配合日军在宁陵、商丘一带进行殖民统治，征粮抓丁。
孙殿英,伪新编第五军军长（后投日）,1943-1945,原国民党军将领，1943年在河南林县投日，所部被编为伪军，活动于豫北、豫东一带，配合日军进攻抗日根据地。
庞炳勋,伪第二十四集团军总司令,1943-1945,原国民党军将领，1943年在河南投日，任伪第二十四集团军总司令，所部活动于豫北、豫东地区，协助日军维持占领区。
李英,伪豫北剿共军总司令,1940-1945,河南武陟人，抗战期间投日，组织伪军盘踞豫北，后活动范围扩展至豫东，配合日军扫荡抗日根据地。
王自全,伪安阳保安团团长、伪豫北道保安司令,1938-1945,安阳沦陷后投日，任伪保安团团长等职，在豫北、豫东一带配合日军作战，残害抗日民众。
郭清,伪临漳县保安团团长,1938-1945,河南临漳人，投日后组织伪保安团，活动于豫北、豫东地区，配合日军扫荡。
杨振兰,伪开封市维持会会长,1938-1945,开封沦陷后组织维持会，后任伪开封市市长，为日军在河南省会推行殖民统治，影响波及豫东商丘等地。
姜达权,伪河南省政府委员、伪豫东道尹,1938-1945,汪伪河南省政府官员，曾任伪豫东道尹，驻商丘，统辖豫东伪政权，推行日军政策。
邢幼杰,伪河南省教育厅厅长,1940-1945,汪伪河南省政府官员，推行奴化教育，在包括商丘在内的河南沦陷区学校强制日语教学和亲日宣传。
陈静斋,伪河南省政府财政厅厅长,1940-1945,汪伪河南省政府官员，为日军筹款筹粮，在河南沦陷区包括豫东商丘一带推行伪币和掠夺性财政政策。
王锡龄,伪商丘县商会会长,1938-1945,商丘沦陷后任伪商会会长，为日军筹集物资，协助日军控制商丘经济，压迫商民。
