name,title,activity_period,notable_deeds
萧瑞臣,伪河南省政府委员、伪豫北道尹,1938-1945,抗战期间投靠日军，在豫北道（辖安阳等县）推行伪政，协助日军征粮、征夫，镇压抗日活动。
陈静斋,伪河南省省长、伪豫北道尹,1938-1945,北洋旧官僚，日军侵占河南后出任伪职，先后任伪豫北道尹、伪河南省省长，为日军筹粮筹款，推行奴化教育。
田文炳,伪河南省政府委员、伪豫北道尹,1939-1945,在豫北道任内配合日军“治安强化运动”，组织伪自卫团，清乡扫荡，残害抗日群众。
李聘三,伪安阳县维持会会长、伪安阳县县长,1937-1945,安阳沦陷后率先组织维持会，后任伪县长，为日军征集物资、修筑工事，并协助建立伪保甲制度。
张凤峰,伪和平建国军第一军军长、伪豫东剿共军司令,1938-1945,原国民党军将领，投敌后率部驻防豫北、豫东，配合日军进攻抗日根据地，在安阳周边地区多次参与扫荡。
李英,伪和平建国军第二十四集团军总司令、伪河南省保安司令,1940-1945,率部投敌，所部驻防豫北安阳、新乡一带，协助日军守备铁路、据点，进攻八路军。
王自全,伪安阳县保安团团长、伪豫北剿共军支队长,1938-1945,安阳本地土匪武装头目，投日后编为伪军，在安阳西部山区配合日军扫荡，杀害抗日干部和群众。
郭清,伪安阳县警察局局长、伪安阳县保安大队大队长,1938-1945,长期把持安阳伪警察系统，搜捕抗日人员，推行保甲连坐，勒索百姓。
程希孟,伪河南省教育厅厅长,1940-1945,在伪河南省政府任内推行亲日奴化教育，编写伪教材，组织学生参拜神社，培训伪师资。
赵筱三,伪安阳县商会会长,1938-1945,控制安阳商业，为日军采购军需物资，强制商户“献金献物”，配合经济封锁。
刘峰一,伪豫北道公署警务科长,1939-1945,在豫北道统管伪警察，参与抓捕抗日嫌疑人员，破坏中共地下组织。
孙殿英,伪新编第五军军长（后投日）,1943-1945,原国民党军将领，1943年投敌，所部驻防豫北林县、安阳一带，配合日军进攻太行抗日根据地。
庞炳勋,伪和平建国军第二十四集团军总司令,1943-1945,原国民党河北省主席、第二十四集团军总司令，1943年被俘后投敌，驻防豫北安阳、林县地区，率部配合日军扫荡。
李振亚,伪安阳县新民会会长,1938-1945,在安阳组织新民会，进行亲日宣传，训练伪青年团，协助日军推行“治安强化运动”。
张锡珩,伪汤阴县县长,1938-1945,汤阴沦陷后任伪县长，为日军征粮征丁，修筑封锁沟墙，配合扫荡安阳、汤阴一带抗日武装。
