name,title,activity_period,notable_deeds
李聘三,伪内黄县维持会会长、伪内黄县知事,1938-1945,内黄沦陷后出面组织维持会，充任伪内黄县知事，为日军征粮派款、维持伪秩序，是内黄当地主要附逆头目之一。
张凤峰,伪豫北剿共军总司令、伪河南省保安队副总司令,1938-1945,在豫北安阳、内黄、汤阴一带收编土匪、伪军，配合日军扫荡抗日根据地，长期控制安阳周边地区。
李英,伪豫北剿共军副总司令、伪安阳县县长,1938-1945,投靠日军后盘踞安阳，参与组织伪军，配合日军进攻冀鲁豫和太行抗日根据地，在安阳、内黄一带活动。
王自全,伪安阳县保安团团长、伪军头目,1938-1945,安阳本地伪军头目，率部配合日军在安阳、内黄、汤阴地区清乡、扫荡，残害抗日群众。
程道生,伪军头目、伪安阳地区保安队首领,1938-1945,在安阳东部和内黄一带组织伪武装，为日军搜集情报、征发民夫粮秣，配合日伪统治。
郭清,伪军头目、伪安阳地区剿共队首领,1938-1945,活动于安阳、内黄、临漳交界地区，投靠日军后多次参与扫荡冀鲁豫边区，烧杀抢掠。
陈静斋,伪河南省省长,1938-1945,伪河南省政权头目之一，在日军控制下推行伪政令，其统治范围覆盖豫北安阳、内黄等地，为日军征粮、征兵、维持治安。
田文炳,伪河南省政府委员、伪豫北道尹,1938-1945,在豫北道任职期间，管辖安阳、内黄等县伪政，配合日军推行保甲、征粮和治安强化运动。
赵质宸,伪豫北道尹、伪安阳地区行政头目,1938-1945,在豫北道和安阳地区充任伪职，协助日军控制地方，推行伪教育、伪宣传和物资统制。
孙殿英,国民党军将领，后投敌任伪新编第五军军长,1943-1945,1943年在豫北被日军俘获后投敌，所部被编为伪军，活动于安阳、新乡一带，配合日军进攻抗日根据地。
庞炳勋,国民党军将领，后投敌任伪第二十四集团军总司令,1943-1945,1943年在豫北投敌，所部伪化后活动于安阳、林县、内黄周边地区，配合日军扫荡。
李振亚,伪内黄县警察所所长,1938-1945,在内黄伪警察机构任职，协助日军搜捕抗日人员、维持伪治安，压迫当地民众。
王锡龄,伪安阳县商会会长、伪维持会成员,1937-1945,安阳商界附逆人物，为日军筹款筹物，协助伪政权控制安阳及周边内黄等地经济。
李香亭,伪内黄县教育科科长,1938-1945,在伪内黄县政权中负责教育，推行奴化教育，宣传“中日亲善”，毒害当地青少年。
张耀南,伪安阳县知事、伪豫北道公署职员,1938-1945,在安阳伪政权中任职，执行日军征粮、派夫、保甲连坐等政策，波及内黄等周边县。
