name,title,activity_period,notable_deeds
李聘三,伪安阳县维持会会长、伪安阳县知事,1937-1945,安阳沦陷后出面组织伪维持会，后任伪安阳县知事，协助日军征粮、派夫、维持治安，镇压抗日群众。
张凤峰,伪豫北剿共军总司令、伪河南省保安队副司令,1938-1945,在豫北安阳、汤阴、淇县一带收编土匪、组建伪军，配合日军扫荡抗日根据地，残害百姓。
王自全,伪安阳县保安团团长、伪军头目,1938-1945,盘踞安阳东部及殷都区一带，充当日伪爪牙，强征粮款、捕杀抗日人员。
郭清,伪安阳地区剿共军司令,1938-1945,在安阳、内黄、汤阴一带组织伪军，配合日军多次扫荡，制造惨案。
陈静斋,伪河南省省长,1938-1945,河南沦陷区伪政权头目，推行日军殖民统治，为安阳等地伪政权提供支持。
田文炳,伪河南省警务厅厅长,1938-1945,掌管河南沦陷区伪警察系统，在安阳等地搜捕抗日人士，镇压民众。
赵子立,伪安阳县警察局局长,1938-1945,在安阳城区及殷都一带负责伪警察事务，协助日军清查户口、抓捕抗日人员。
孙殿英,伪新编第五军军长（后投日）,1943-1945,1943年投敌，所部在豫北安阳、林县一带配合日军行动，后任伪军职。
庞炳勋,伪和平救国军第二十四集团军总司令,1943-1945,1943年投敌，在豫北安阳、林县一带率部降日，配合日军进攻抗日根据地。
李英,伪豫北保安司令,1938-1945,在安阳、汤阴一带组织伪保安队，协助日军维持占领区秩序，镇压抗日活动。
程道生,伪安阳县商会会长,1937-1945,安阳沦陷后出面组织商会，为日军筹款筹粮，协助经济掠夺。
杨寿山,伪安阳县教育科科长,1938-1945,在安阳推行奴化教育，篡改教材，宣传“中日亲善”，毒害青少年。
