name,title,activity_period,notable_deeds
王旭初,伪开封维持会会长、伪河南省政府委员,1938-1945,日军占领开封后出面组织伪维持会，协助日军维持地方秩序、征发物资，并参与伪河南省政权的筹建与运作。
萧瑞臣,伪河南省省长,1938-1940,任伪河南省省长期间，驻开封，推行日军殖民统治政策，协助征粮、征丁，镇压抗日活动。
陈静斋,伪河南省省长,1940-1942,继任伪河南省省长，在开封主持伪省政，配合日军“治安强化运动”，推行保甲连坐，镇压抗日力量。
田文炳,伪河南省省长,1942-1943,在开封任伪河南省省长，协助日军掠夺物资、推行奴化教育，维持伪政权统治。
邵文凯,伪河南省省长,1943-1944,任伪河南省省长期间驻开封，继续配合日军统治，参与征粮征丁和镇压抗日活动。
鲍文樾,伪河南省省长,1944-1945,在开封任伪河南省省长，为日军搜刮物资、维持伪政权，直至抗战胜利。
胡毓坤,伪开封绥靖公署主任、伪河南省省长,1944-1945,在开封主持伪绥靖公署，统辖伪军配合日军“扫荡”，并一度兼任伪河南省省长，镇压抗日武装。
庞炳勋,伪开封绥靖公署主任、伪第二十四集团军总司令,1943-1945,投降日军后任伪职，在开封一带统率伪军配合日军作战，进攻抗日根据地。
孙良诚,伪开封绥靖公署主任、伪第二方面军总司令,1943-1945,率部投敌后驻开封地区，任伪绥靖公署主任，指挥伪军配合日军“扫荡”和“治安强化运动”。
张岚峰,伪和平救国军第一军军长、伪第四方面军总司令,1938-1945,在豫东、开封一带组织伪军，配合日军进攻抗日根据地，掠夺民财，镇压抗日群众。
李福和,伪皇协军第一军军长,1938,在豫北、豫东一带率部投敌，组织伪皇协军，配合日军进攻河南抗日武装。
徐理中,伪开封市市长,1938-1940,任伪开封市市长，协助日军管理城市，推行保甲制度，征发物资和劳工。
孟昭瓒,伪开封市市长,1940-1942,在开封任伪市长，配合日军统治，推行奴化教育，镇压抗日活动。
李叔平,伪开封市市长,1942-1944,任伪开封市市长期间，协助日军征粮征丁，维持伪政权，参与“治安强化运动”。
许敬参,伪开封市市长,1944-1945,在开封任伪市长，为日军搜刮物资，维持伪统治，直至抗战胜利。
王墨庄,伪开封县知事、伪开封县县长,1938-1945,在开封县（含祥符旧地）任伪职，协助日军征粮征丁，推行保甲连坐，镇压抗日群众。
刘兴周,伪河南省警务厅厅长,1938-1942,在开封主持伪警务，配合日军搜捕抗日人员，镇压民众抗日活动。
王锡良,伪河南省警务厅厅长,1942-1945,任伪河南省警务厅厅长，驻开封，指挥伪警察配合日军“扫荡”，镇压抗日力量。
赵筱山,伪河南省宣传处处长,1938-1945,在开封主持伪宣传，推行奴化教育，宣传“中日亲善”“大东亚共荣圈”，麻痹民众抗日意识。
陈铁生,伪河南省教育厅厅长,1938-1945,在开封推行奴化教育，篡改教材，强迫学生学习日语，培养亲日思想。
李敬斋,伪河南省商会会长,1938-1945,在开封为日军筹款筹粮，协助经济掠夺，压榨商户和民众。
田友望,伪开封维持会副会长,1938,协助王旭初组织伪维持会，为日军占领开封提供地方协助，征发物资和劳工。
姜达权,伪河南省保安司令部司令,1938-1945,在开封统率伪保安部队，配合日军维持治安，镇压抗日活动。
宋子贤,伪开封县维持会会长,1938,日军占领开封后组织伪维持会，协助日军维持地方秩序，征发物资。
王少甫,伪河南省合作社联合会理事长,1938-1945,在开封主持伪合作社，协助日军统制物资，掠夺农产品，压榨民众。
