name,title,activity_period,notable_deeds
王旭初,伪通许县维持会会长、伪通许县知事,1938年-1945年,日军侵占通许后出面组织维持会，后任伪县知事，为日军征粮派款、维持伪政权统治。
李振亚,伪通许县保安团团长,1939年-1945年,统率伪保安团配合日军扫荡通许及周边抗日根据地，抓捕抗日人员。
张子明,伪通许县警察所所长,1940年-1945年,掌管伪警察机构，协助日军清查户口、搜捕抗日志士。
王敬斋,伪开封市维持会副会长,1938年-1940年,开封沦陷后参与组织维持会，为日军筹粮筹款、安抚地方。
姜达权,伪河南省公署警务厅厅长,1938年-1945年,在开封主持伪警务，推行保甲连坐，镇压河南抗日活动。
陈静斋,伪河南省省长,1938年-1943年,在开封任伪省长，配合日军征粮、征兵，推行奴化教育。
田文炳,伪河南省省长,1943年-1945年,继任伪省长，继续为日军搜刮物资，维持伪政权。
鲍文樾,伪河南省保安司令,1940年-1945年,统率伪保安部队在开封及周边地区配合日军作战。
胡毓坤,伪开封绥靖公署主任,1942年-1945年,在开封设立绥靖公署，指挥伪军进攻抗日武装。
孙良诚,伪和平救国军第二方面军总司令,1942年-1945年,率部投敌后驻防开封、通许一带，配合日军扫荡。
庞炳勋,伪和平救国军第二十四集团军总司令,1943年-1945年,投降日军后活动于豫东开封、通许地区，协助日军维持治安。
李英,伪和平救国军暂编第六军军长,1943年-1945年,在开封、通许一带驻防，配合日军征粮、扫荡。
王清瀚,伪开封县知事,1938年-1945年,任伪开封县知事，为日军征发民夫、粮食，推行保甲制度。
赵筱山,伪开封市商会会长,1938年-1945年,协助日军控制开封商业，为日军采购军需物资。
刘仰山,伪河南省教育厅厅长,1939年-1945年,在开封推行奴化教育，篡改教材，宣传“中日亲善”。
邢幼杰,伪河南省宣传处处长,1940年-1945年,在开封主办伪报刊、广播，进行亲日宣传。
王锡良,伪通许县保安队队长,1941年-1945年,带领伪保安队在通许境内搜捕抗日人员，配合日军扫荡。
马文卿,伪通许县维持会干事,1938年-1940年,协助维持会征粮派款，为日军提供情报。
高子明,伪开封市警察局局长,1939年-1945年,在开封实施特务统治，抓捕抗日嫌疑人员。
李聘三,伪河南省合作社联合社理事长,1940年-1945年,控制开封及通许等地物资配给，为日军掠夺农产品。
