name,title,activity_period,notable_deeds
张敬尧,伪河南省政府主席（未就任即被刺）,1933年,北洋旧军阀，1933年投靠日本，被委任为伪河南省政府主席，未及赴任即在北平被刺杀，其伪政权计划覆盖河南包括新乡一带。
萧瑞臣,伪河南省政府主席,1937-1938年,日军侵占河南北部后，在安阳组建伪河南省政府并任主席，伪政权势力范围涉及豫北包括新乡地区。
陈静斋,伪河南省政府主席,1938-1939年,继萧瑞臣后任伪河南省政府主席，驻安阳，协助日军维持豫北占领区统治，新乡一带在其伪政权名义管辖范围内。
田文炳,伪河南省政府主席,1939-1942年,任伪河南省政府主席期间，配合日军在豫北推行治安强化运动，新乡、原阳等地伪政权受其统辖。
邵文凯,伪河南省政府主席,1942-1943年,接任伪河南省政府主席，继续为日军在河南占领区筹措物资、维持伪秩序，其伪政权覆盖豫北新乡一带。
鲍文樾,伪河南省政府主席,1943-1944年,曾任伪河南省政府主席，协助日军统治河南沦陷区，新乡、原阳等地在其伪政权名义管辖下。
张登云,伪河南省政府主席,1944-1945年,伪河南省政府末任主席之一，日军投降前继续维持伪政权，其辖区包括豫北新乡地区。
王锡龄,伪新乡县维持会会长/伪新乡县知事,1938-1940年前后,日军侵占新乡后出面组织维持会，后任伪新乡县知事，为日军征粮派款、维持地方伪秩序。
李聘三,伪新乡县知事/伪新乡县政府要职,1938-1945年,在新乡沦陷期间于伪县政府任职，协助日军推行保甲、征发劳工和物资。
赵子明,伪原阳县维持会会长,1938-1940年前后,原阳沦陷后组织维持会，替日军维持地方秩序、摊派粮款，是原阳地区较早附逆者。
娄伯芳,伪原阳县知事,1939-1943年前后,任伪原阳县知事期间，配合日军清乡、征粮，镇压抗日活动。
王老五,伪原阳地方武装头目,1938-1945年,原阳一带伪军/伪保安队头目，率部配合日军扫荡，欺压当地民众。
李振亚,伪豫北道尹,1938-1945年,伪豫北道管辖新乡、原阳等县，任道尹期间为日军推行殖民统治、征发物资。
刘荫卿,伪豫北道尹/伪新乡地区要职,1938-1944年前后,在豫北伪政权中任职，协助日军控制新乡一带，推行治安强化运动。
孙殿英,伪新编第五军军长（降日后）,1943-1945年,原国民党军将领，1943年降日，所部被编为伪军，活动于豫北、新乡一带，配合日军进攻抗日根据地。
庞炳勋,伪第二十四集团军总司令（降日后）,1943-1945年,原国民党军将领，1943年降日，任伪军总司令，所部活动于豫北包括新乡地区，协助日军维持占领。
李英,伪豫北保安司令/伪军头目,1938-1945年,豫北地区伪军头目之一，率部配合日军扫荡新乡、原阳等地抗日力量。
王自全,伪安阳保安司令/伪军头目,1938-1945年,豫北伪军头目，势力涉及新乡以北地区，配合日军维持豫北伪统治。
程道生,伪豫北剿共军头目,1940-1945年,在豫北组织伪武装，配合日军清乡、扫荡，活动范围接近新乡、原阳一带。
杨清川,伪新乡县警察局长,1938-1945年,任伪新乡县警察局长，协助日军搜捕抗日人员、维持伪治安。
郭仲隗,伪河南教育界附逆者,1938-1945年,在河南沦陷区参与伪教育机构，推行奴化教育，其活动涉及豫北新乡等地。
张善与,伪河南文化界附逆者,1938-1945年,在河南沦陷区参与伪文化宣传，为日军殖民统治张目，活动范围包括豫北。
