name,title,activity_period,notable_deeds
张岚峰,伪和平建国军第一军军长、伪第四方面军总司令、伪河南省省长,1938-1945,河南柘城人，抗战期间投靠日军，在豫东、豫北一带组建伪军，长期配合日军对河南抗日根据地和国统区进行扫荡、蚕食，1943年后任伪河南省省长，是河南地区影响最大的汉奸武装头目之一。
孙殿英,国民党军新编第五军军长，后投敌任伪军头目,1943-1945,1943年在河南林县一带被日军包围后投降，所部被编为伪军，活动于豫北、太行山南麓一带，配合日军进攻抗日根据地，对包括新乡在内的豫北地区造成危害。
庞炳勋,国民党军第二十四集团军总司令，后投敌任伪军总司令,1943-1945,1943年在豫北林县、辉县一带被日军俘获后投降，被日军委任为伪军总司令，所部活动于豫北地区，配合日军维持伪统治，对新乡及周边地区有直接影响。
李振亚,伪新乡县维持会会长、伪新乡县县长,1938-1945,抗战期间在新乡县城沦陷后出面组织维持会，后任伪新乡县县长，协助日军征粮、征夫、维持治安，镇压抗日活动，是新乡本地伪政权的重要人物。
王锡龄,伪新乡县警察局局长,1938-1945,在新乡沦陷期间担任伪警察头目，配合日军搜捕抗日人员、控制交通与户籍，参与镇压新乡及周边封丘等地的抗日群众。
赵子明,伪封丘县维持会会长,1938-1945,封丘沦陷后组织维持会，为日军筹粮筹款、拉夫修路，协助日军建立伪基层政权，是封丘当地附逆代表人物。
刘明德,伪封丘县县长,1939-1945,任伪封丘县县长期间，推行保甲制度，配合日军清乡、扫荡，镇压当地抗日武装和群众，维护日伪在封丘的统治。
陈静斋,伪河南省政府委员、伪豫北道尹,1938-1945,河南本地汉奸，抗战期间在豫北道任职，管辖包括新乡、封丘在内的豫北各县伪政权，协助日军推行治安强化运动，掠夺物资、镇压抗日力量。
萧瑞臣,伪豫北道尹、伪河南省政府委员,1938-1945,在豫北道任职期间，负责新乡、封丘等县伪政权的督导，配合日军实施经济统制、征发劳工，是豫北地区伪政权的重要汉奸官员。
胡毓坤,伪和平建国军豫北地区头目,1938-1945,抗战期间在豫北一带收编土匪、散兵组成伪军，配合日军驻守新乡及周边据点，参与对封丘、延津等地的扫荡和清乡。
李英,伪军师长，活动于豫北,1940-1945,率伪军在豫北新乡、封丘、延津一带配合日军作战，进攻抗日根据地，抢粮抓丁，残害抗日群众。
王自全,伪豫北剿共军司令,1940-1945,在豫北地区组织伪武装，活动于新乡、封丘、滑县一带，配合日军进行剿共、清乡，镇压抗日力量。
程道生,伪新乡地区保甲长、伪自卫团头目,1938-1945,在新乡周边乡村担任伪保甲长并组织伪自卫团，为日军征粮、派夫、搜集情报，协助日军控制基层，迫害抗日家属。
张子修,伪封丘县教育科科长,1939-1945,在封丘推行奴化教育，编写亲日教材，组织师生参加日伪宣传活动，为日军殖民统治服务。
田文炳,伪河南省商会联合会头目,1938-1945,在河南沦陷区协助日军实施经济掠夺，控制新乡、封丘等地物资流通，为日军筹集军需，是经济领域附逆代表。
