name,title,activity_period,notable_deeds
张岚峰,伪和平救国军第一军军长、伪第四方面军总司令,1938-1945,河南柘城人，抗战期间投靠日军，在豫东、豫南及漯河周边地区收编土匪、组建伪军，配合日军进攻抗日根据地，镇压民众，是河南地区势力最大的伪军头目之一。
孙殿英,伪新编第五军军长、伪第二十四集团军副总司令,1943-1945,河南永城人，1943年在河南林县被俘后投敌，所部被编为伪军，在豫北、豫西一带配合日军行动，后曾活动于漯河及平汉铁路沿线地区。
庞炳勋,伪第二十四集团军总司令、伪开封绥靖公署主任,1943-1945,河北人，原国民党河北省主席，1943年在河南林县被俘后投敌，任伪职，统辖河南北部及平汉线伪军，其势力范围涉及漯河周边地区。
李振亚,伪漯河维持会会长,1944-1945,漯河沦陷后出面组织伪维持会，为日军征集粮秣、劳工，协助日军维持地方治安，镇压抗日活动。
陈铁头,伪漯河警察局局长,1944-1945,漯河沦陷期间任伪警察局长，带领伪警察配合日军搜捕抗日人员，勒索商户，欺压百姓。
王老五,伪郾城县维持会会长,1944-1945,郾城沦陷后组织维持会，为日军派粮派款，强征民夫，协助日军修筑工事，迫害抗日家属。
刘明德,伪郾城县保安团团长,1944-1945,组建伪保安团，配合日军扫荡郾城、漯河周边乡村，抓捕抗日游击队员，烧毁民房。
赵子俊,伪临颍县维持会会长,1944-1945,临颍沦陷后任维持会长，为日军征集物资，组织伪自卫团，协助日军控制临颍至漯河交通线。
孙发祥,伪舞阳县维持会会长,1944-1945,舞阳沦陷后投敌，组织维持会，为日军提供情报，协助日军进攻舞阳南部抗日根据地。
周化南,伪许昌县维持会会长,1944-1945,许昌沦陷后任维持会长，为日军筹粮筹款，协助日军管理平汉铁路许昌至漯河段。
徐立吾,伪许昌县警察局局长,1944-1945,任伪警察局长期间，配合日军搜捕抗日人士，镇压许昌、漯河一带的抗日活动。
李雨霖,伪豫南道尹,1944-1945,任伪豫南道尹，管辖漯河、许昌、驻马店等地伪政权，为日军推行保甲制度，征发劳工，镇压抗日力量。
张伯英,伪河南省政府委员,1940-1945,在伪河南省政府任职，参与制定伪政策，协助日军在河南包括漯河地区推行奴化教育、经济掠夺。
田文炳,伪河南省警务厅厅长,1940-1945,掌管伪河南警务，在漯河、许昌等地设立伪警察机构，配合日军清乡、扫荡，镇压抗日群众。
王锡龄,伪漯河商会会长,1944-1945,漯河沦陷后任伪商会会长，为日军强制摊派物资，控制漯河商业，协助日军经济掠夺。
陈子明,伪漯河教育会会长,1944-1945,任伪教育会会长，在漯河推行奴化教育，篡改教材，宣传“大东亚共荣”，毒害青少年。
刘子久,伪郾城县教育科科长,1944-1945,在郾城推行奴化教育，组织教师参加伪培训，强迫学校使用伪教材，为日军培养顺民。
张耀东,伪漯河维持会副会长,1944-1945,协助会长为日军征集粮草、劳工，参与维持会日常事务，镇压抗日活动。
李华堂,伪郾城县保安队队长,1944-1945,带领伪保安队配合日军扫荡郾城乡村，抓捕抗日人员，抢掠民财。
王振亚,伪临颍县保安团团长,1944-1945,组建伪保安团，配合日军进攻临颍抗日游击队，杀害抗日群众。
