name,title,activity_period,notable_deeds
张岚峰,伪和平救国军第一军军长、伪第四方面军总司令、伪河南省省长,1938-1945,河南柘城人，抗战期间投靠日军，在豫东、豫北一带组建伪军，配合日军进攻抗日根据地，1943年后任伪第四方面军总司令，1945年任伪河南省省长，长期在河南境内为日军维持统治。
孙良诚,伪和平救国军第二方面军总司令、伪开封绥靖公署主任,1942-1945,原国民党将领，1942年率部投敌，任伪第二方面军总司令，驻防河南开封、濮阳一带，配合日军扫荡冀鲁豫抗日根据地，1945年任伪开封绥靖公署主任。
庞炳勋,伪和平救国军第二十四集团军总司令、伪河南省政府委员,1943-1945,原国民党河北省政府主席、第二十四集团军总司令，1943年在河南林县被俘后投敌，任伪第二十四集团军总司令，活动于豫北、冀南一带，配合日军进攻太行和冀鲁豫根据地。
李英,伪和平救国军暂编第六军军长、伪豫北绥靖公署主任,1938-1945,河南濮阳人，抗战初期即投靠日军，在濮阳、清丰、南乐一带组织伪军，任伪暂编第六军军长，后任伪豫北绥靖公署主任，长期控制濮阳地区，配合日军扫荡冀鲁豫边区。
王清瀚,伪濮阳县维持会会长、伪濮阳县县长,1938-1945,濮阳本地士绅，1938年日军占领濮阳后出面组织维持会，任会长，后任伪濮阳县县长，协助日军征粮、派夫、建立保甲制度，镇压抗日群众。
张连三,伪濮阳县保安团团长,1939-1945,濮阳人，抗战期间投靠日军，任伪濮阳县保安团团长，率部配合日军扫荡濮阳、台前一带抗日武装，捕杀抗日干部和群众。
刘伯骧,伪清丰县维持会会长、伪清丰县县长,1938-1945,清丰县士绅，日军占领清丰后组织维持会，任会长，后任伪县长，在清丰、濮阳交界地区推行伪化统治，为日军筹集物资。
杨法贤,伪南乐县维持会会长、伪南乐县县长,1938-1945,南乐县人，抗战期间投敌，任伪南乐县维持会会长、县长，在南乐、台前一带建立伪政权，配合日军扫荡冀鲁豫根据地。
赵子立,伪范县维持会会长,1939-1945,范县（今属濮阳）人，日军占领范县后组织维持会，任会长，协助日军在范县、台前一带建立伪秩序，征发民夫、粮食。
王德林,伪寿张县维持会会长、伪寿张县县长,1939-1945,寿张县（今属濮阳台前一带）人，抗战期间投敌，任伪寿张县维持会会长、县长，在寿张、台前地区为日军维持统治，镇压抗日活动。
崔子明,伪东明县维持会会长,1939-1945,东明县（今属濮阳）人，日军占领东明后组织维持会，任会长，配合日军在濮阳南部、东明一带推行伪化政策。
李树春,伪河南省警务厅厅长,1938-1945,河南人，抗战期间在伪河南省政府任职，任警务厅厅长，负责伪警察系统，在河南各地包括濮阳地区建立伪警察网络，镇压抗日群众。
陈静斋,伪河南省政府委员、伪豫北道尹,1938-1945,抗战期间投敌，任伪河南省政府委员、豫北道尹，管辖豫北包括濮阳地区，推行伪化教育、经济掠夺，配合日军扫荡。
王幼侨,伪河南省教育厅厅长,1938-1945,抗战期间在伪河南省政府任教育厅厅长，在河南沦陷区包括濮阳地区推行奴化教育，篡改教材，宣传“中日亲善”。
胡毓坤,伪和平救国军第一军副军长,1938-1945,抗战期间投敌，在河南豫北地区任伪军副军长，配合张岚峰等伪军在濮阳、清丰、南乐一带扫荡抗日根据地。
李福和,伪皇协军第一军军长,1938,原国民党将领，1938年在河南林县投敌，任伪皇协军第一军军长，活动于豫北、冀南一带，包括濮阳地区，配合日军进攻抗日武装。
吴化文,伪和平救国军第三方面军总司令,1943-1945,原国民党将领，1943年投敌，任伪第三方面军总司令，曾率部在河南东部、北部包括濮阳一带配合日军扫荡。
郝鹏举,伪淮海省省长、伪和平救国军第八方面军总司令,1943-1945,原国民党将领，1943年投敌，任伪淮海省省长，活动范围包括河南东部与濮阳邻近地区，配合日军维持伪统治。
张海峰,伪濮阳县警察局局长,1939-1945,濮阳人，抗战期间任伪濮阳县警察局局长，带领伪警察配合日军搜捕抗日人员，镇压濮阳、台前一带抗日群众。
刘镜洲,伪清丰县保安团团长,1939-1945,清丰人，抗战期间投敌，任伪清丰县保安团团长，在清丰、濮阳交界地区配合日军扫荡，捕杀抗日干部。
