name,title,activity_period,notable_deeds
张岚峰,伪和平救国军第一军军长、伪第四方面军总司令,1938-1945,河南柘城人，抗战期间投靠日军，在豫东、豫北一带收编土匪、组建伪军，配合日军进攻抗日根据地，长期控制包括焦作、新乡在内的豫北部分地区，是河南境内影响较大的伪军头目之一。
孙殿英,国民党军新编第五军军长，后投敌任伪军职,1943-1945,1943年在河南林县一带被日军包围后投降，所部被编为伪军，活动于豫北太行山南麓及平汉铁路沿线，对焦作、新乡周边地区抗日力量造成威胁。
庞炳勋,国民党军第二十四集团军总司令，后投敌任伪军职,1943-1945,1943年在豫北林县地区被俘后投降日军，被委任为伪军总司令，所部活动于豫北、豫东一带，配合日军扫荡，与焦作、新乡地区抗日武装多次交战。
李振亚,伪焦作矿区维持会会长,1938-1945,焦作沦陷后出面组织伪维持会，协助日军控制焦作煤矿及地方治安，为日军掠夺煤炭资源提供支持，是焦作当地伪政权代表人物之一。
王明德,伪孟县维持会会长,1938-1945,孟县沦陷后投靠日军，组织伪维持会，协助日军征粮、派夫、维持地方秩序，镇压当地抗日活动，是孟州地区有记载的附逆人物。
陈静斋,伪河南省政府委员、伪豫北道尹,1938-1945,抗战期间在河南伪政权中任职，负责豫北道事务，管辖包括焦作、新乡在内的豫北地区，推行日军殖民统治政策，协助征发物资、镇压抗日力量。
赵筱三,伪豫北道公署警务科长,1938-1945,在伪豫北道任职期间，参与组建伪警察队伍，配合日军在焦作、孟县等地清乡、搜捕抗日人员，是豫北伪警系统的重要人物。
刘昌义,伪军师长，活动于豫北地区,1940-1945,抗战中期投靠日军，率伪军在豫北焦作、修武、博爱一带活动，配合日军扫荡抗日根据地，抢掠民财，残害抗日群众。
张体安,伪孟县保安团团长,1939-1945,孟县本地人，投靠日军后组建伪保安团，控制孟县及周边地区，协助日军征粮、抓丁，多次参与对抗日游击队的围剿。
李聘三,伪沁阳县维持会会长,1938-1945,沁阳沦陷后组织伪维持会，协助日军管理地方，推行保甲制度，为日军提供情报和物资，是焦作周边地区附逆代表人物。
