name,title,activity_period,notable_deeds
李聘三,伪武陟县维持会会长、伪武陟县县长,1938-1945,日军侵占武陟后出面组织维持会，后任伪县长，协助日军征粮、派夫、维持地方伪秩序。
王士珍,伪焦作矿区维持会头目,1938-1940,在焦作矿区为日军维持殖民统治，协助掠夺煤炭资源，压迫矿工。
张体安,伪军头目、伪沁阳县县长,1938-1945,在豫北焦作、沁阳一带组织伪军，配合日军扫荡抗日根据地，残害抗日群众。
李振亚,伪河南省政府委员、伪豫北道尹,1938-1945,在豫北地区推行日伪政令，协助日军统治焦作、新乡等地，镇压抗日活动。
陈静斋,伪河南省省长,1938-1945,作为伪河南省最高行政长官，为日军在河南包括豫北焦作地区的殖民统治服务，推行保甲、征粮、奴化教育。
田文炳,伪河南省政府警务厅长,1938-1945,在河南日伪政权中掌管警察系统，参与镇压抗日民众，维护日伪统治秩序。
赵筱三,伪武陟县警察所所长,1938-1945,在武陟县为日军维持治安，搜捕抗日人员，协助日军控制地方。
刘明德,伪焦作矿区警备队队长,1938-1945,在焦作矿区组织伪警备队，配合日军守备矿区，镇压矿工反抗。
孙殿英,伪新编第五军军长（后投日）,1943-1945,1943年投靠日军，所部在豫北焦作、新乡一带配合日军行动，后任伪军要职。
庞炳勋,伪和平救国军第二十四集团军总司令,1943-1945,1943年投日，在豫北地区组织伪军，配合日军扫荡，活动范围包括焦作、武陟周边。
