name,title,activity_period,notable_deeds
李聘三,伪温县维持会会长、伪温县县长,1938-1945,抗战期间投靠日军，在温县组织维持会，后任伪温县县长，协助日军征粮、派夫、清乡，镇压抗日群众。
张敬忠,伪温县警备队队长,1939-1945,率伪警备队配合日军扫荡温县及周边抗日根据地，捕杀抗日人员，勒索民众。
王德霖,伪焦作矿区维持会会长,1938-1945,日军侵占焦作后出面组织维持会，为日军掠夺煤炭资源、招募劳工，压迫矿工。
李润身,伪焦作县县长,1940-1945,任伪焦作县县长期间，推行保甲连坐，配合日军经济封锁和治安强化运动。
陈子明,伪河南省豫北道尹,1938-1945,在豫北道（辖焦作、温县等地）推行伪化教育、征发物资，协助日军统治豫北。
胡毓坤,伪和平救国军第一军军长,1938-1945,率伪军在豫北包括焦作、温县一带配合日军作战，进攻抗日武装。
李福和,伪皇协军第一军军长,1938,在豫北安阳、焦作一带率部投敌，被编为皇协军，配合日军进攻太行山区。
徐理中,伪温县保安团团长,1941-1945,组织伪保安团，在温县境内搜捕抗日人员，强征壮丁和粮食供给日军。
刘明德,伪武陟县县长,1939-1945,邻近温县的武陟县伪县长，配合日军对温县、武陟交界地区进行扫荡和清乡。
赵子立,伪沁阳县维持会会长,1938-1945,在沁阳组织维持会，协助日军控制焦作西部及温县北部地区，征发民夫、物资。
