name,title,activity_period,notable_deeds
李聘三,伪焦作维持会会长、伪焦作县知事,1938年—1945年,日军侵占焦作后率先出面组织维持会，后任伪焦作县知事，协助日军征粮、征夫、推行保甲连坐，镇压抗日群众。
许良臣,伪焦作县警察所所长,1938年—1945年,在焦作矿区及周边村镇搜捕抗日人员，勒索商户居民，配合日军扫荡，迫害无辜群众。
张体安,伪军豫北剿共军司令,1939年—1945年,率伪军在焦作、修武、博爱一带配合日军扫荡，袭击八路军和地方抗日武装，残害抗日军民。
刘明德,伪修武县知事,1938年—1945年,在修武及焦作周边推行伪化统治，强征粮食、劳工，组织维持会与保甲，协助日军控制煤矿。
王凤山,伪博爱县维持会会长,1938年—1940年,在博爱及焦作西部组织维持会，为日军筹集物资、情报，诱迫群众服从伪政权。
陈子明,伪河南省豫北道尹公署道尹,1938年—1945年,管辖豫北包括焦作地区伪政权，推行日军殖民政策，督征粮款、劳工，镇压抗日活动。
赵子立,伪武陟县知事,1938年—1945年,在武陟及焦作南部地区建立伪政权，组织伪军警，配合日军扫荡黄河沿岸抗日根据地。
孙殿英,伪新编第五军军长（后投敌）,1943年—1945年,1943年率部投敌，所部在豫北焦作、新乡一带配合日军进攻抗日根据地，搜捕抗日人员。
庞炳勋,伪暂编第二十四集团军总司令,1943年—1945年,1943年投敌后，在豫北包括焦作地区协同日军作战，进攻八路军，残害抗日群众。
李振亚,伪焦作煤矿维持会负责人,1938年—1945年,协助日军控制焦作煤矿，强迫矿工劳动，掠夺煤炭资源，镇压矿工反抗。
刘昌义,伪豫北保安团团长,1939年—1945年,在焦作、修武、获嘉一带组织伪保安团，配合日军清乡，捕杀抗日干部和群众。
王德林,伪沁阳县知事,1938年—1945年,在沁阳及焦作西部推行伪政，征粮征丁，组织维持会，协助日军封锁抗日根据地。
