name,title,activity_period,notable_deeds
张岚峰,伪和平救国军第一军军长、伪第四方面军总司令,1938-1945,河南柘城人，抗战期间投靠日军，在豫东、豫中一带组建伪军，配合日军进攻抗日根据地，其势力范围覆盖许昌、襄城周边地区。
孙良诚,伪和平救国军第二方面军总司令、伪开封绥靖公署主任,1942-1945,原国民党将领，1942年率部投敌，任伪职，驻防河南开封、许昌一带，配合日军扫荡豫中抗日力量。
庞炳勋,伪和平救国军第二十四集团军总司令、伪河南省政府主席,1943-1945,原国民党河北省政府主席，1943年被俘后投敌，任伪河南省政府主席等职，在河南境内协助日军维持伪政权，影响涉及许昌地区。
陈静斋,伪河南省政府省长,1938-1945,抗战期间任伪河南省省长，主持伪省政，推行日军殖民统治政策，其伪政权体系覆盖许昌、襄城等县。
王锡良,伪许昌县维持会会长、伪许昌县县长,1938-1945,日军侵占许昌后，出面组织维持会，后任伪许昌县县长，为日军征粮派款、维持治安，镇压抗日活动。
李振亚,伪襄城县维持会会长,1944-1945,1944年日军攻陷襄城后，出面组织维持会，协助日军建立伪政权，征发民夫、物资，维持日占区秩序。
赵子明,伪襄城县保安团团长,1944-1945,襄城沦陷后投靠日军，组建伪保安团，配合日军清乡、扫荡，镇压当地抗日武装。
刘昌义,伪许昌地区保安司令,1944-1945,抗战后期在许昌地区组织伪保安部队，协助日军维持豫中占领区治安，参与对抗日根据地的封锁。
张敬忠,伪河南省警务厅厅长,1938-1945,任伪河南省警务厅厅长，统管全省伪警察系统，在许昌、襄城等地建立伪警察网络，镇压抗日民众。
周化南,伪许昌县教育科科长,1938-1945,在许昌推行奴化教育，改编教材，向学生灌输亲日思想，协助日军进行文化侵略。
