name,title,activity_period,notable_deeds
徐立吾,伪许昌县维持会会长、伪许昌县知事,1938年—1945年,日军侵占许昌后出面组织伪维持会，后任伪许昌县知事，为日军征粮派款、维持殖民统治。
李振亚,伪许昌县警察局局长,1938年—1945年,在许昌沦陷期间充任伪警察头目，配合日军搜捕抗日人员、镇压民众。
王锡龄,伪许昌县商会会长,1938年—1945年,依附日伪政权，为日军筹款筹物，控制许昌商业为其殖民经济服务。
张子厚,伪许昌县保安团团长,1938年—1945年,率伪保安团配合日军扫荡许昌周边抗日武装，残害百姓。
刘子明,伪许昌县教育科科长,1938年—1945年,推行奴化教育，篡改教材，向许昌学生灌输亲日思想。
赵子俊,伪许昌县魏都镇维持会会长,1938年—1945年,在许昌城区魏都镇组织维持会，为日军提供情报、粮秣，协助管理居民。
陈子衡,伪河南省公署参事,1938年—1945年,在伪河南省政权中任职，参与制定对许昌等地的殖民统治政策。
孙良诚,伪和平建国军第二方面军总司令,1942年—1945年,率部投敌，所部伪军曾驻防许昌、漯河一带，配合日军进攻抗日根据地。
庞炳勋,伪和平建国军第二十四集团军总司令,1943年—1945年,投降日军后，其伪军活动于豫北、豫中，包括许昌周边地区，协助日军维持占领区。
张岚峰,伪和平建国军第一军军长,1938年—1945年,在河南东部及中部投敌，其伪军势力范围一度覆盖许昌附近，为日军征粮、扫荡。
李福和,伪皇协军第一军军长,1938年—1945年,在豫北、豫中组织伪军，配合日军作战，其活动范围包括许昌周边。
王自全,伪许昌县自卫团团长,1938年—1945年,在许昌组织伪自卫团，协助日军维持治安、搜捕抗日分子。
杨清波,伪许昌县合作社理事长,1938年—1945年,控制许昌物资配给，为日军掠夺粮食、棉花等战略物资。
周子明,伪许昌县宣传科科长,1938年—1945年,主办伪报纸、广播，进行亲日宣传，粉饰日军侵略。
吴子敬,伪许昌县财政科科长,1938年—1945年,为日伪政权征收苛捐杂税，压榨许昌民众。
