name,title,activity_period,notable_deeds
张岚峰,伪河南剿共军总司令、伪第四方面军总司令,1938-1945,河南柘城人，抗战期间投靠日军，在豫东、豫南一带组织伪军，配合日军进攻抗日根据地，后任伪第四方面军总司令，所部盘踞开封、商丘、郑州周边地区，1945年抗战胜利后被国民党收编。
孙良诚,伪第二方面军总司令、伪开封绥靖公署主任,1942-1945,原西北军将领，1942年率部投敌，任伪第二方面军总司令，驻防开封、郑州一带，配合日军扫荡豫中、豫东抗日力量，1945年后被国民党收编。
庞炳勋,伪第二十四集团军总司令、伪河南省政府主席,1943-1945,原国民党河北省政府主席、第二十四集团军总司令，1943年在豫北林县被俘后投敌，任伪第二十四集团军总司令、伪河南省政府主席，驻开封，协助日军控制河南沦陷区。
陈静斋,伪河南省省长、伪河南省政府主席,1938-1945,抗战期间投敌，历任伪河南省政府委员、伪河南省省长，驻开封，为日军在河南推行殖民统治、征粮征丁，是河南沦陷区伪政权核心人物之一。
田文炳,伪河南省政府警务厅长、伪开封市市长,1938-1945,抗战期间在河南伪政权任职，曾任伪河南省警务厅长、伪开封市市长，协助日军维持沦陷区治安，镇压抗日活动。
王旭初,伪郑州维持会会长、伪郑县县长,1938-1945,郑州沦陷后出面组织伪郑州维持会，后任伪郑县县长，为日军征集物资、维持地方秩序，是郑州地区伪政权代表人物。
李聘三,伪郑县维持会副会长、伪郑县商会会长,1938-1945,郑州沦陷后参与组织伪维持会，任副会长兼伪商会会长，为日军筹款筹粮，协助控制郑州工商界。
赵子明,伪郑州警察局局长,1938-1945,抗战期间任伪郑州警察局局长，协助日军维持郑州城区治安，搜捕抗日人员，镇压民众反抗。
刘汝明,伪豫东剿共军副司令,1938-1945,抗战期间投靠日军，在豫东、郑州周边地区组织伪军，配合日军扫荡抗日武装，残害抗日群众。
张敬尧,伪河南省政府参议、伪豫中道尹,1938-1945,抗战期间在河南伪政权任职，曾任伪豫中道尹，管辖郑州周边地区，为日军推行保甲制度、征发劳役。
周化南,伪郑州新民会会长,1938-1945,抗战期间任伪郑州新民会会长，为日军进行奴化宣传，组织亲日团体，协助控制郑州民众思想。
李振亚,伪郑县保安团团长,1938-1945,抗战期间任伪郑县保安团团长，率伪军配合日军在郑州周边地区清乡、扫荡，镇压抗日活动。
