name,title,activity_period,notable_deeds
张敬尧,伪河南省政府主席（未就任即被刺）,1933年,北洋旧军阀，1933年投靠日本，被委任为伪河南省政府主席，尚未就任即在北平被刺杀，其活动涉及河南地区。
萧瑞臣,伪河南省政府省长,1938年—1940年,日军侵占河南后，出任伪河南省政府省长，协助日军维持占领区统治，推行伪化政策。
陈静斋,伪河南省政府省长,1940年—1942年,继萧瑞臣后任伪河南省省长，配合日军进行治安强化运动，镇压抗日力量。
田文炳,伪河南省政府省长,1942年—1943年,任伪河南省省长期间，协助日军征粮、征夫，推行保甲制度，加强对河南民众的控制。
邵文凯,伪河南省政府省长,1943年—1944年,在任伪河南省省长期间，配合日军实施经济掠夺和奴化教育。
鲍文樾,伪河南省政府省长,1944年—1945年,抗战末期任伪河南省省长，继续为日军服务，直至日本投降。
赵筱三,伪郑州维持会会长,1938年—1940年,日军侵占郑州后，出面组织伪维持会，协助日军维持地方秩序、征发物资。
李聘三,伪郑州商会会长、伪维持会成员,1938年—1945年,郑州商界人物，附逆日军，协助日军摊派款项、物资，控制郑州商业。
王明远,伪登封县维持会会长,1944年—1945年,1944年日军攻占登封后，出面组织伪维持会，为日军征粮征夫，协助维持占领区秩序。
刘子云,伪登封县保安团团长,1944年—1945年,登封本地人，日军占领登封后率部投敌，被编为伪保安团，配合日军扫荡抗日根据地。
张子厚,伪登封县警察局局长,1944年—1945年,任伪登封县警察局长期间，协助日军搜捕抗日人员，推行保甲连坐。
孙殿英,伪新编第五军军长（投敌后）,1943年—1945年,原国民党军将领，1943年在河南林县被俘后投敌，所部被编为伪军，活动于河南北部及豫西地区，配合日军作战。
庞炳勋,伪第二十四集团军总司令,1943年—1945年,原国民党军将领，1943年在河南投敌，被汪伪政权委任为伪第二十四集团军总司令，率部配合日军进攻抗日根据地。
李振亚,伪豫西自治军司令,1944年—1945年,1944年日军发动豫湘桂战役后，在豫西地区组织伪军，配合日军控制豫西各县，包括登封周边地区。
王克敏,伪中华民国临时政府行政委员会委员长,1937年—1940年,华北伪政权头目，其伪政权管辖范围包括河南北部，对河南沦陷区推行伪化统治。
梁鸿志,伪中华民国维新政府行政院院长,1938年—1940年,华中伪政权头目，其势力范围涉及河南部分地区，协助日军维持占领区。
汪精卫,伪国民政府主席,1940年—1944年,建立南京伪国民政府，统辖包括河南在内的沦陷区伪政权，推行全面附逆政策。
