name,title,activity_period,notable_deeds
张景惠,伪河南省政府省长、伪开封市市长,1938-1945,抗战期间投靠日军，历任伪河南省政府省长、伪开封市市长等职，协助日军维持沦陷区统治，推行伪化政策。
陈静斋,伪河南省政府省长,1938-1940,日军侵占河南后出任伪河南省政府省长，参与组织伪政权，协助日军征粮、征夫，镇压抗日活动。
田文炳,伪河南省政府省长,1940-1942,继任伪河南省省长，配合日军推行治安强化运动，在河南沦陷区实施保甲连坐，镇压抗日力量。
邵文凯,伪河南省政府省长,1942-1944,任伪河南省省长期间，协助日军掠夺河南物资，推行奴化教育，强化伪政权对基层的控制。
鲍文樾,伪河南省政府省长、伪军事参议院院长,1944-1945,抗战后期任伪河南省省长，后调任伪军事参议院院长，参与汪伪政权军事事务，协助日军维持占领区。
申振纲,伪郑州市市长,1938-1945,日军占领郑州后出任伪郑州市市长，组织维持会，协助日军管理城市、征发物资，镇压抗日群众。
李聘三,伪郑州维持会会长,1938-1940,郑州沦陷后组织伪维持会，为日军筹粮筹款，诱降地方士绅，协助建立伪基层政权。
王锡龄,伪郑县县知事,1938-1945,任伪郑县县知事，管理郑州周边地区，配合日军清乡、征粮，推行保甲制度，镇压抗日活动。
赵筱山,伪郑州警察局局长,1938-1945,任伪郑州警察局局长，协助日军搜捕抗日人员，维持占领区治安，参与镇压民众反抗。
刘汝明,伪河南剿共军司令,1938-1945,投靠日军后组织伪军，在郑州及周边地区配合日军扫荡抗日武装，残害百姓。
张岚峰,伪和平救国军第一军军长、伪河南省剿共军总司令,1938-1945,在河南东部及郑州周边地区组织伪军，配合日军进攻抗日根据地，参与扫荡和清乡，罪行累累。
孙良诚,伪和平救国军第二方面军总司令,1942-1945,率部投敌后任伪军要职，在河南北部及郑州附近配合日军作战，协助维持伪政权。
庞炳勋,伪和平救国军第二十四集团军总司令,1943-1945,被俘后投敌，任伪军总司令，在河南北部及郑州周边地区配合日军扫荡抗日武装。
孙殿英,伪和平救国军新编第五军军长,1943-1945,投敌后任伪军军长，在河南北部及郑州附近活动，配合日军进攻抗日根据地。
李振亚,伪郑州商会会长,1938-1945,任伪郑州商会会长，为日军筹款筹物，协助经济掠夺，压迫商户。
周化南,伪河南教育厅厅长,1938-1945,任伪河南教育厅厅长，推行奴化教育，篡改教材，向学生灌输亲日思想。
陈铁生,伪郑州新民会会长,1938-1945,组织伪新民会，进行亲日宣传，协助日军控制民众思想，配合治安强化运动。
王揖唐,伪河南省政府省长、伪内政部部长,1938-1945,曾任伪河南省省长，后调任汪伪内政部部长，参与伪政权决策，协助日军统治河南。
高凌霨,伪河南省政府省长,1938-1939,任伪河南省省长期间，协助日军建立伪政权，推行伪化政策，镇压抗日活动。
赵琪,伪郑州市维持会副会长,1938-1940,协助维持会会长为日军筹粮筹款，诱降地方人士，参与伪基层政权建设。
