name,title,activity_period,notable_deeds
张岚峰,伪和平救国军第一军军长、伪第四方面军总司令,1938-1945,河南柘城人，抗战期间投靠日军，在豫东、豫北一带组建伪军，配合日军进攻抗日根据地，曾任伪河南省政府委员等职，是河南地区影响较大的汉奸武装头目之一。
孙殿英,伪新编第五军军长、伪第二十四集团军副总司令,1943-1945,原国民党军将领，1943年在河南林县一带被日军俘虏后投敌，所部被编为伪军，驻防豫北、豫西地区，配合日军维持占领区秩序并参与对抗日武装的作战。
庞炳勋,伪第二十四集团军总司令、伪开封绥靖公署主任,1943-1945,原国民党河北省政府主席、第二十四集团军总司令，1943年在河南林县地区被俘后投降日军，出任伪职，统辖豫北一带伪军，协助日军控制平汉铁路沿线及豫北地区。
陈静斋,伪河南省省长,1938-1945,抗战期间出任伪河南省政府省长，驻开封，主持伪省政，推行日军占领政策，在河南沦陷区实施保甲、征粮、劳工等事务，是河南伪政权最高行政头目之一。
田文炳,伪河南省政府委员、伪豫北道尹,1938-1945,在河南沦陷区担任伪道尹等职，负责豫北地区伪行政事务，配合日军维持占领区统治，推行伪化教育与经济掠夺政策。
赵筱三,伪郑州维持会会长,1938-1945,郑州沦陷后出面组织伪维持会，协助日军维持郑州城区秩序，为日军筹粮、派夫、征收物资，是郑州本地直接附逆的伪政权头目之一。
李聘三,伪郑州商会会长、伪维持会成员,1938-1945,郑州沦陷时期在伪商会及维持会任职，协助日军摊派款项、物资，控制本地商业，为日军占领郑州提供经济支持。
王锡龄,伪郑县知事,1938-1945,日军占领郑州后出任伪郑县知事，主持伪县政，推行保甲制度，为日军征发劳工、粮食，维持郑州及周边地区伪统治。
张子超,伪郑州警察局局长,1938-1945,在郑州沦陷期间担任伪警察头目，协助日军搜捕抗日人员，维持城区治安，参与镇压民众抗日活动。
刘绍唐,伪豫西道尹,1938-1945,在河南豫西地区担任伪道尹，负责伪行政事务，配合日军控制豫西沦陷区，推行征粮、派夫等政策。
胡毓坤,伪河南省政府委员、伪豫东道尹,1938-1945,在河南豫东地区担任伪职，协助日军维持占领区统治，参与伪政权行政与治安事务。
边壮猷,伪郑州新民会会长,1938-1945,在郑州组织伪新民会，进行亲日宣传，推行奴化教育，协助日军控制民众思想，是郑州地区文化教育领域附逆者之一。
