name,title,activity_period,notable_deeds
张岚峰,伪和平救国军第一军军长、伪第四方面军总司令、伪河南省政府豫东道尹,1938-1945,河南柘城人，抗战期间投靠日军，在豫东、豫南一带收编土匪、组建伪军，配合日军进攻抗日根据地，驻马店、上蔡周边地区曾受其伪军势力影响。
孙良诚,伪和平救国军第二方面军总司令、伪开封绥靖公署主任,1942-1945,原国民党将领，1942年率部投日，所部伪军活动于河南开封、商丘、周口及驻马店周边地区，配合日军扫荡、征粮、清乡。
庞炳勋,伪和平救国军第二十四集团军总司令、伪河南省政府主席,1943-1945,原国民党河北省政府主席，1943年被俘后投日，任伪职，其伪政权与伪军势力覆盖河南部分地区，包括豫南、豫东一带。
陈静斋,伪河南省政府省长,1938-1945,抗战期间任伪河南省政府省长，驻开封，协助日军推行伪政，征发粮款、维持治安，其伪政权体系延伸至驻马店、上蔡等县。
田文炳,伪河南省政府豫南道尹,1938-1945,伪豫南道尹，管辖信阳、驻马店、确山、上蔡等豫南地区，推行保甲、征粮、清乡，配合日军维持占领区统治。
李敬斋,伪上蔡县维持会会长、伪上蔡县县长,1938-1945,上蔡沦陷后出面组织维持会，后任伪县长，为日军征粮、派夫、维持地方伪秩序，是上蔡本地有记载的附逆者。
王光临,伪驻马店维持会会长,1938-1945,驻马店沦陷后组织维持会，协助日军管理车站、物资与地方治安，为日军提供情报与后勤支持。
赵子俊,伪确山县县长、伪豫南道公署职员,1938-1945,在确山、驻马店一带任伪职，配合日军征粮、清乡，参与维持伪政权在豫南的基层统治。
刘汝明,伪军豫南剿共军司令,1943-1945,抗战后期在豫南收编地方武装，投靠日军，活动于驻马店、上蔡、汝南一带，配合日军进攻抗日武装。
张子修,伪上蔡县警察局局长,1938-1945,任伪上蔡县警察局长，协助日军搜捕抗日人员、维持伪治安，参与地方清乡与保甲推行。
