name,title,activity_period,notable_deeds
张岚峰,伪和平救国军第一军军长、伪第四方面军总司令、伪河南省省长,1938-1945,河南柘城人，抗战期间投靠日军，在豫东、豫南一带组建伪军，配合日军进攻抗日根据地，曾任伪河南省省长，其势力范围覆盖驻马店、正阳周边地区。
孙良诚,伪和平救国军第二方面军总司令、伪开封绥靖公署主任,1942-1945,原西北军将领，1942年率部投敌，任伪第二方面军总司令，驻防开封、商丘及豫东、豫南地区，配合日军扫荡，其伪军活动范围涉及驻马店、正阳一带。
庞炳勋,伪和平救国军第二十四集团军总司令、伪河南省政府委员,1943-1945,原国民党河北省政府主席、第二十四集团军总司令，1943年投敌，任伪第二十四集团军总司令，驻防豫北、豫东，其伪军势力曾扩展至豫南驻马店地区。
李守信,伪蒙古军总司令、伪河南省保安司令,1933-1945,蒙古族，早年在热河投敌，后任伪蒙古军总司令，抗战后期被派往河南任伪保安司令，参与维持豫南伪政权，活动涉及驻马店、正阳一带。
王揖唐,伪华北政务委员会委员长、伪河南省省长,1937-1945,安徽合肥人，北洋政客，抗战期间投敌，任伪华北政务委员会委员长，曾兼任伪河南省省长，推行奴化教育、经济掠夺，其伪政权体系覆盖河南全省包括驻马店、正阳。
陈静斋,伪河南省政府委员、伪豫南道尹,1938-1945,抗战期间任伪豫南道尹，驻信阳，管辖豫南各县包括驻马店、正阳，推行伪化统治，组织维持会、保甲，配合日军征粮、抓丁。
赵子立,伪正阳县维持会会长,1938-1945,正阳本地士绅，日军侵占正阳后出面组织维持会，任会长，协助日军维持地方秩序、征发物资、建立伪保甲制度。
张子杰,伪正阳县保安团团长,1939-1945,正阳人，投靠日军后组建伪保安团，任团长，配合日军扫荡正阳、确山一带抗日武装，残害抗日群众。
刘子仁,伪驻马店维持会会长,1938-1945,驻马店镇商人，日军占领驻马店后组织维持会，任会长，为日军筹集粮草、提供情报，协助建立伪政权。
李振亚,伪确山县县长,1938-1945,抗战期间任伪确山县县长，确山与正阳相邻，其伪政权配合日军对正阳、确山交界地区进行清乡、扫荡。
王光临,伪汝南县县长,1938-1945,任伪汝南县县长，汝南与正阳接壤，其伪政权参与日军对豫南地区的统治，推行保甲连坐，镇压抗日活动。
陈耀武,伪上蔡县保安大队大队长,1939-1945,上蔡人，投敌后任伪保安大队长，上蔡与正阳邻近，其伪军配合日军在正阳、上蔡交界地区扫荡抗日游击队。
吴化文,伪和平救国军第三方面军总司令,1943-1945,原国民党新编第四师师长，1943年投敌，任伪第三方面军总司令，驻防豫东、皖北，其伪军活动范围一度延伸至豫南驻马店地区。
郝鹏举,伪淮海省省长、伪保安司令,1943-1945,原国民党将领，1943年投敌，任伪淮海省省长，其伪政权与河南东部相邻，对豫南驻马店地区有间接影响。
胡毓坤,伪河南省保安副司令,1938-1945,抗战期间任伪河南省保安副司令，协助日军整编伪军，在豫南包括驻马店、正阳一带部署伪保安部队。
田文炳,伪豫南道公署警务科长,1938-1945,任伪豫南道公署警务科长，驻信阳，负责豫南各县伪警察事务，包括正阳、驻马店，参与镇压抗日人员。
张华堂,伪正阳县警察局局长,1939-1945,正阳人，投敌后任伪正阳县警察局局长，带领伪警察配合日军搜查抗日分子，勒索百姓。
李寿山,伪正阳县教育科科长,1940-1945,任伪正阳县教育科科长，推行奴化教育，强制学校使用日伪教材，宣传“大东亚共荣圈”。
赵明轩,伪驻马店商会会长,1938-1945,驻马店商人，投靠日军后任伪商会会长，为日军筹措军需物资，协助经济掠夺。
孙殿英,伪和平救国军新编第五军军长,1943-1945,原国民党新编第五军军长，1943年被俘后投敌，任伪新编第五军军长，驻防豫北、豫东，其伪军曾活动于豫南驻马店周边。
