name,title,activity_period,notable_deeds
田文炳,伪河南省政府委员、伪豫南道尹,1938-1945,抗战期间投靠日军，在豫南道（辖驻马店、信阳等地）推行伪政，协助日军维持占领区统治，镇压抗日活动。
张启堂,伪驻马店维持会会长,1938-1940,日军侵占驻马店后出面组织维持会，为日军筹粮、派夫、搜集情报，协助建立伪基层政权。
李敬斋,伪确山县政府筹备处主任,1938-1945,在确山及驻马店一带依附日军，参与伪县政筹备与保甲编组，配合日伪清乡。
王光临,伪遂平县维持会会长、伪县长,1938-1945,遂平沦陷后投敌，组织维持会并出任伪县长，为日军征发物资、修筑据点，镇压地方抗日力量。
赵子杰,伪西平县维持会会长,1938-1945,在西平及邻近驻马店地区组织伪维持会，协助日军控制交通线，迫害抗日群众。
陈耀先,伪上蔡县维持会会长、伪县长,1938-1945,上蔡沦陷后投靠日军，历任维持会会长、伪县长，推行奴化教育，为日军搜刮民财。
刘子仁,伪汝南县维持会会长,1938-1945,在汝南及驻马店周边地区组织伪政权，配合日军扫荡，强征民夫修筑工事。
高子明,伪正阳县维持会会长,1938-1945,正阳沦陷后出面维持，为日军筹款筹粮，协助建立伪警察所与保甲组织。
吴子敬,伪泌阳县维持会会长,1938-1945,在泌阳及驻马店西部山区为日军搜集情报，诱降地方武装，参与伪化统治。
张子超,伪新蔡县维持会会长,1938-1945,新蔡沦陷后投敌，组织维持会，为日军征发粮食、牲畜，协助伪军扩编。
李振亚,伪河南省保安队豫南支队司令,1938-1945,率部投靠日军，在驻马店、信阳一带配合日军扫荡抗日根据地，残害百姓。
王德林,伪豫南剿共军司令,1938-1945,在驻马店周边收编土匪武装，为日军充当剿共先锋，多次进攻抗日游击队。
赵子明,伪驻马店警察局局长,1938-1945,在驻马店市区及经开区一带建立伪警察体系，搜捕抗日人员，推行保甲连坐。
孙耀先,伪驻马店商会会长,1938-1945,控制驻马店商业，为日军采购军需物资，协助经济掠夺，压迫商户。
刘文彬,伪豫南道教育科科长,1938-1945,在驻马店、信阳等地推行奴化教育，编写亲日教材，组织学生参加亲日活动。
陈子敬,伪确山县保安团团长,1938-1945,在确山、驻马店一带配合日军清乡，抓捕抗日群众，烧毁村庄。
张耀南,伪遂平县保安大队大队长,1938-1945,率伪军在遂平及驻马店西北地区为日军护路、征粮，袭击抗日武装。
李子安,伪西平县警察所所长,1938-1945,在西平及驻马店周边地区建立伪警察网络，镇压抗日活动，勒索民众。
王耀东,伪上蔡县保安团团长,1938-1945,在上蔡、驻马店一带为日军维持治安，参与扫荡，残害抗日军民。
赵文甫,伪汝南县保安大队大队长,1938-1945,在汝南及驻马店周边配合日军行动，强征民夫，修筑封锁沟墙。
