name,title,activity_period,notable_deeds
傅筱庵,伪上海特别市市长,1938-1940,浙江镇海人，抗战期间投靠日军，出任伪上海特别市市长，协助日军推行伪化统治，镇压抗日活动。
梁鸿志,伪中华民国维新政府行政院长,1938-1940,福建长乐人，生于浙江，抗战期间组织伪维新政府，后任伪监察院长，为日军侵华提供政治支持。
王克敏,伪中华民国临时政府行政委员会委员长,1937-1945,浙江杭州人，抗战期间投敌，先后在伪临时政府、伪华北政务委员会任职，协助日军统治华北。
陈群,伪中华民国维新政府内政部长,1938-1945,浙江绍兴人，抗战期间附逆，任伪维新政府内政部长、伪江苏省长等职，推行伪化政策。
梅思平,伪工商部长、伪浙江省长,1938-1945,浙江永嘉人，参与汪精卫投敌活动，后任伪浙江省长，在浙江推行伪政，镇压抗日力量。
傅式说,伪浙江省长,1940-1945,浙江乐清人，抗战期间投靠汪伪政权，出任伪浙江省长，协助日军在浙江的统治。
项致庄,伪浙江省长、伪军头目,1940-1945,浙江杭州人，抗战期间任伪浙江省长、伪军师长等职，在浙江地区配合日军扫荡抗日武装。
丁默邨,伪社会部长、伪浙江省长,1939-1945,湖南常德人，生于浙江，汪伪特工头目，后任伪浙江省长，在浙江进行特务统治和镇压抗日活动。
罗君强,伪司法行政部长、伪浙江省长,1940-1945,湖南湘乡人，汪伪政权要员，后任伪浙江省长，在浙江推行伪化统治。
张啸林,青帮头目、伪浙江省长,1937-1940,浙江慈溪人，上海青帮头目，抗战期间投靠日军，组织伪军，后任伪浙江省长，协助日军镇压抗日活动。
李士群,伪特工总部主任、伪江苏省长,1939-1943,浙江遂昌人，汪伪特工头目，在浙江、江苏等地进行特务活动，镇压抗日人士。
吴四宝,伪特工总部警卫队长,1939-1942,江苏南通人，活动于上海、浙江一带，汪伪特工，参与暗杀、绑架等镇压抗日活动。
苏成德,伪浙江省警务处长,1940-1945,浙江人，汪伪政权警务官员，在浙江负责伪警察系统，协助日军维持治安、镇压抗日。
石林森,伪浙江省政府委员,1940-1945,浙江人，汪伪浙江省政府官员，参与伪政权的行政事务，协助日军统治浙江。
徐季敦,伪浙江省政府委员,1940-1945,浙江人，汪伪浙江省政府官员，参与伪化统治。
陆懋德,伪浙江省政府委员,1940-1945,浙江人，汪伪浙江省政府官员，协助日军在浙江的统治。
王厦材,伪浙江省政府委员,1940-1945,浙江人，汪伪浙江省政府官员，参与伪政权事务。
孙育才,伪浙江省政府委员,1940-1945,浙江人，汪伪浙江省政府官员，协助日军统治。
张鹍,伪浙江省政府委员,1940-1945,浙江人，汪伪浙江省政府官员，参与伪化统治。
卜愈,伪浙江省政府委员,1940-1945,浙江人，汪伪浙江省政府官员，协助日军在浙江的统治。
马云,伪浙江省政府委员,1940-1945,浙江人，汪伪浙江省政府官员，参与伪政权事务。
王永树,伪浙江省政府委员,1940-1945,浙江人，汪伪浙江省政府官员，协助日军统治。
陈中孚,伪浙江省政府委员,1940-1945,浙江人，汪伪浙江省政府官员，参与伪化统治。
周化人,伪浙江省政府委员,1940-1945,浙江人，汪伪浙江省政府官员，协助日军在浙江的统治。
朱朴,伪浙江省政府委员,1940-1945,浙江人，汪伪浙江省政府官员，参与伪政权事务。
张一鹏,伪浙江省政府委员,1940-1945,浙江人，汪伪浙江省政府官员，协助日军统治。
沈尔乔,伪浙江省政府委员,1940-1945,浙江人，汪伪浙江省政府官员，参与伪化统治。
李讴一,伪浙江省政府委员,1940-1945,浙江人，汪伪浙江省政府官员，协助日军在浙江的统治。
陈群,伪浙江省政府委员,1940-1945,浙江人，汪伪浙江省政府官员，参与伪政权事务。
