name,title,activity_period,notable_deeds
王五,伪平湖县知事,1938-1941,在日军占领期间出任伪平湖县知事，协助日伪推行‘清乡’政策，强征民夫，搜刮粮食，镇压抗日活动。
张阿福,伪平湖县保安大队长,1940-1945,组织伪保安队配合日军扫荡，多次袭击抗日游击队，杀害抗日军民，并参与强迫农民种植鸦片。
李金标,伪嘉兴县维持会会长,1937-1939,日军占领嘉兴后率先投敌，组织维持会，为日军提供情报，协助建立伪政权，并参与掠夺当地丝绸和粮食资源。
陈阿大,伪嘉兴县警察局局长,1939-1945,在伪警察局任职期间，大肆搜捕抗日地下党员和爱国群众，严刑逼供，并配合日军进行‘治安强化运动’。
沈福根,伪浙北绥靖公署参议,1941-1945,作为嘉兴地区汉奸代表，参与日伪‘清乡’计划制定，为日军征收军粮，并组织汉奸团体破坏抗日宣传。
赵阿荣,伪平湖县税务局长,1938-1945,为日伪政权征收苛捐杂税，强征百姓财物，导致民不聊生，并贪污部分税款中饱私囊。
钱三宝,伪嘉兴县商会会长,1938-1945,利用商会身份为日军收购战略物资，如桐油、棉花等，并强迫商户向日军‘献金’，从中牟利。
孙阿狗,伪平湖县情报组组长,1942-1945,专门为日军搜集抗日武装情报，多次导致游击队联络点被破坏，造成多名抗日人员牺牲。
周文才,伪嘉兴县教育督学,1939-1945,推行奴化教育，强制学校教授日语和‘中日亲善’课程，迫害坚持爱国教育的教师。
吴阿毛,伪平湖县自卫团团长,1940-1945,率自卫团协助日军围剿抗日武装，在平湖地区制造多起惨案，烧毁村庄，杀害无辜百姓。
