name,title,activity_period,notable_deeds
傅筱庵,伪中华民国维新政府行政院院长、伪上海市长,1938-1940年,原浙江镇海人，投靠日本后任伪维新政府首脑，协助日军控制上海及江浙地区，征收苛税，镇压抗日活动。
张啸林,伪浙江省政府参议、日伪特务,1937-1940年,浙江慈溪人，上海青帮头目，抗战后公开投敌，为日军提供情报，组织汉奸武装，破坏抗日运动，1940年被暗杀。
陈群,伪中华民国维新政府内政部长、伪浙江省长,1938-1943年,福建长汀人，但长期在浙江活动，任伪浙江省长期间推行奴化教育，强征民夫，协助日军清乡。
丁默邨,伪浙江省保安司令部顾问、伪特工总部主任,1939-1945年,浙江杭州人，原军统特务，投日后组建76号特工总部，在浙江各地捕杀抗日志士，制造多起血案。
李士群,伪浙江省政府警务厅长、伪特工总部副主任,1939-1943年,浙江遂昌人，投日后参与组建76号，在杭州、富阳等地设立特务据点，残害地下党员和进步群众。
周佛海,伪浙江省政府主席（未实际到任）、伪行政院副院长,1940-1945年,湖南沅陵人，但兼任伪浙江省主席期间，通过亲信控制浙江政务，支持清乡运动，搜刮民财。
梅思平,伪浙江省政府秘书长、伪实业部长,1940-1945年,浙江永嘉人，参与汪伪政权，在浙江推行经济统制，垄断粮食、丝绸贸易，导致民不聊生。
林柏生,伪浙江省宣传处长、伪中央宣传部副部长,1940-1945年,广东信宜人，但长期在浙江从事日伪宣传，控制杭州、富阳等地报纸电台，鼓吹“大东亚共荣”。
陈春圃,伪杭州市长,1938-1941年,浙江绍兴人，任伪杭州市长期间，协助日军建立保甲制度，强征劳工，破坏西湖文物。
何赞,伪富阳县知事（县长）,1938-1940年,浙江富阳本地人，投敌后任伪富阳县知事，为日军提供粮食和民夫，镇压当地抗日游击队。
孙云章,伪富阳县保安大队长,1939-1945年,浙江富阳人，组织汉奸武装，配合日军扫荡富春江沿岸，杀害抗日军民数十人。
汪云章,伪浙江省警务处督察长,1940-1945年,浙江杭州人，负责日伪警察系统，在杭州、富阳等地设立检查站，搜捕抗日分子，勒索百姓。
王五权,伪富阳维持会会长,1937-1938年,浙江富阳人，日军占领富阳后率先组织维持会，为日军带路，强征物资，民愤极大。
赵如珩,伪浙江省教育厅长,1940-1945年,浙江杭州人，推行奴化教育，删改历史教材，强迫学生学日语，破坏浙江教育体系。
徐苏中,伪浙江省建设厅长,1940-1943年,浙江富阳人，负责为日军修建公路、碉堡，强征民夫，导致大量民工死亡。
罗君强,伪浙江省财政厅长,1940-1945年,湖南湘乡人，但任伪浙江省财政厅长期间，发行伪币，强收田赋，搜刮浙江财富。
金雄白,伪杭州市警察局长,1941-1945年,浙江杭州人，投日后任伪警察局长，协助日军维持治安，多次围捕抗日地下组织。
张一鹏,伪富阳区区长,1941-1944年,浙江富阳人，在富阳各乡镇推行“联保连坐”，强迫百姓举报抗日分子，造成多起冤案。
陈中平,伪浙江省保安副司令,1942-1945年,浙江杭州人，指挥伪保安队配合日军“清乡”，在富阳、桐庐等地烧杀抢掠。
周文瑞,伪杭州市商会会长,1938-1945年,浙江杭州人，为日伪筹集军费，垄断杭州丝绸贸易，从中牟取暴利。
