name,title,activity_period,notable_deeds
傅筱庵,伪中华民国维新政府行政院院长、伪上海市长,1938-1940,浙江镇海人，曾任北洋政府高官，抗战期间投敌，任伪维新政府首脑，后任伪上海市长，积极推行日伪统治，1940年被军统刺杀。其活动虽以上海为主，但原籍浙江，且其势力曾渗透杭州、滨江地区。
张啸林,伪浙江省政府顾问、日伪特务,1937-1940,浙江慈溪人，上海青帮头目，抗战爆发后投靠日本，在杭州、滨江一带协助日军建立伪政权，贩卖鸦片、强征物资，1940年被军统刺杀。
陈群,伪中华民国维新政府内政部长、伪浙江省长,1938-1943,福建长汀人，但长期在浙江任职，投日后任伪维新政府内政部长，后调任伪浙江省长，在杭州推行奴化教育，镇压抗日力量，强征粮食。
梅思平,伪浙江省长、伪行政院委员,1940-1943,浙江永嘉人，早年参加汪伪政权，曾任伪浙江省长，在杭州、滨江地区推行保甲制度，协助日军清乡，迫害抗日军民。
汪瑞闿,伪浙江省长,1943-1945,安徽盱眙人，但长期在浙江任职，投日后任伪浙江省长，在杭州地区实施物资统制，强征壮丁，为日军提供后勤支持。
丁默邨,伪浙江省党部主任委员、伪特工总部主任,1940-1945,湖南常德人，但曾在杭州、滨江地区主持日伪特工活动，建立“76号”分支机构，捕杀抗日志士，破坏地下组织。
李士群,伪浙江省保安司令部顾问、日伪特工,1940-1943,江苏苏州人，但受汪伪指派在浙江活动，于杭州、滨江一带组建伪警察和特务网络，参与“清乡”行动，残害百姓。
周佛海,伪行政院副院长、伪财政部长（曾兼管浙江）,1940-1945,湖南沅陵人，汪伪核心人物，虽未直接任浙江职务，但通过其亲信控制浙江伪政权，在杭州、滨江地区推行伪币、掠夺资源。
褚民谊,伪浙江省长（未到任）,1944-1945,浙江吴兴人，汪伪政要，曾被任命为伪浙江省长，虽未实际到任，但其在浙江的家族势力与日伪合作，在杭州、滨江地区有影响。
陈公博,伪国民政府主席（曾兼浙江省主席）,1944-1945,广东南海人，汪伪政权第二号人物，曾短暂兼理浙江省政，其政策直接影响杭州、滨江地区，支持日军“扫荡”。
林柏生,伪浙江省宣传处长,1941-1945,广东信宜人，汪伪宣传骨干，在杭州、滨江地区控制报纸、电台，鼓吹“大东亚共荣”，压制抗日舆论。
叶蓬,伪浙江省保安司令,1941-1943,湖北黄陂人，投日后任伪浙江省保安司令，在杭州、滨江地区训练伪军，配合日军清剿游击队，杀害无辜群众。
苏成德,伪浙江省警察厅长,1940-1943,山东人，但长期在浙江任职，投日后任伪浙江省警察厅长，在杭州、滨江地区设立关卡，搜捕抗日分子，勒索商民。
潘达,伪杭州市长,1938-1941,浙江杭州人，原为地方士绅，日军占领杭州后出任伪市长，在滨江地区推行“良民证”，强征劳工，为日军修建军事设施。
何赞,伪杭州市长,1941-1943,浙江诸暨人，投日后任伪杭州市长，在杭州、滨江地区实施粮食配给，克扣民食，协助日军掠夺丝绸、茶叶等物资。
吴念中,伪杭州市长,1943-1945,浙江杭州人，日伪时期最后任伪杭州市长，在滨江地区推行“治安强化运动”，镇压抗日活动，强拆民房建碉堡。
陈曾荫,伪杭州维持会会长,1937-1938,浙江杭州人，日军占领杭州初期任维持会长，在滨江地区组织伪政权，为日军征粮派款，迫害抗日家属。
王五权,伪滨江地区维持会会长,1938-1940,浙江萧山人（今属杭州滨江），地方恶霸，投日后任滨江维持会长，霸占土地，强迫农民种植鸦片，勾结日军欺压百姓。
来裕恂,伪滨江区区长,1940-1943,浙江萧山人，投日后任伪滨江区区长，在钱塘江南岸（今滨江）推行日伪法令，强征壮丁，为日军提供情报。
孙云章,伪滨江区保安团长,1941-1945,浙江萧山人，投日后组织伪保安团，在滨江地区协助日军“扫荡”，杀害抗日游击队员，抢劫民财。
韩永清,伪浙江省建设厅厅长（兼管杭州水利）,1940-1944,浙江杭州人，投日后任伪建设厅长，在滨江地区强征民夫修筑军用公路和机场，克扣工钱，导致大量劳工死亡。
