name,title,activity_period,notable_deeds
张宝琛,伪泰顺县县长,1941-1945年,1941年投敌，任伪泰顺县县长，协助日军推行“治安强化”运动，强征民夫修筑工事，搜刮粮食资敌，迫害抗日军民。
林蔚,伪泰顺县保安大队长,1942-1945年,率伪军多次“清乡”扫荡泰顺山区，捕杀抗日游击队家属，烧毁民房，抢劫财物，并配合日军进攻浙南抗日根据地。
陈志远,伪泰顺县警察局长,1943-1945年,充当日军耳目，建立特务网络，侦捕抗日地下工作者，严刑逼供，破坏中共泰顺县委地下组织。
吴国桢,伪泰顺县维持会会长,1941-1942年,日军占领泰顺期间组织维持会，为日军提供粮秣、向导，强迫百姓悬挂日旗，并告密导致多名抗日群众被捕。
周文达,伪泰顺县财政科长,1942-1945年,为伪政权征收苛捐杂税，搜刮民财，将大量钱粮上缴日军，并贪污抗日物资，导致地方经济凋敝。
郑国栋,伪泰顺县教育督学,1943-1945年,推行奴化教育，强迫学校教授日语，篡改历史教材，宣扬“中日亲善”，毒害青少年思想。
黄绍雄,伪泰顺县情报组长,1944-1945年,专门收集抗日武装情报，多次带领日军偷袭游击队驻地，造成重大伤亡，并参与诱捕中共干部。
王德明,伪泰顺县商会会长,1941-1945年,勾结日军垄断食盐、布匹贸易，抬高物价，强迫商户“献金”劳军，从中牟取暴利，资助伪政权。
李永清,伪泰顺县自卫团团长,1942-1945年,率自卫团协助日军驻守据点，参与“三光”行动，在百丈、泗溪等地烧杀抢掠，杀害无辜百姓数十人。
叶春芳,伪泰顺县司法承审员,1943-1945年,为伪政权滥施刑罚，以“通匪”罪名冤杀抗日群众，并篡改法律文书，包庇汉奸恶霸。
