name,title,activity_period,notable_deeds
丁默邨,汪伪特工总部主任、伪浙江省政府主席,1939-1945,浙江湖州德清人，早年加入中国共产党后叛变，抗战期间投靠汪精卫，主持汪伪特工总部，残酷迫害抗日志士，后任伪浙江省政府主席，推行伪化统治。
李士群,汪伪特工总部副主任、伪江苏省政府主席,1939-1943,浙江丽水人，生于湖州，抗战期间投靠汪精卫，与丁默邨共同组建汪伪特工总部，在浙江、江苏等地镇压抗日力量，后任伪江苏省政府主席。
周佛海,汪伪财政部长、伪浙江省政府主席,1940-1945,湖南沅陵人，抗战期间投靠汪精卫，任汪伪财政部长等要职，曾兼任伪浙江省政府主席，在浙江推行伪化经济与统治。
傅式说,伪浙江省政府主席,1940-1944,浙江乐清人，抗战期间投靠汪精卫，任伪浙江省政府主席，在浙江推行伪化教育、经济统制，配合日军清乡。
项致庄,伪浙江省政府主席、伪军头目,1943-1945,浙江杭州人，抗战期间投靠汪伪，任伪浙江省政府主席兼伪军要职，在浙江境内配合日军扫荡抗日武装。
张北生,伪湖州维持会会长、伪吴兴县县长,1937-1945,抗战期间在湖州地区组织伪维持会，后任伪吴兴县县长，协助日军维持占领区秩序，征粮拉夫，镇压抗日活动。
沈谱琴,伪湖州维持会副会长,1937-1940,湖州本地士绅，抗战初期出面组织伪维持会，协助日军安抚地方、征集物资，为日军占领湖州提供便利。
王廷扬,伪德清县维持会会长,1937-1941,德清本地人，抗战期间组织伪维持会，为日军征集粮食、劳工，协助维持德清地区伪统治。
陈国钧,伪德清县县长,1941-1945,抗战期间任伪德清县县长，推行保甲制度，配合日军清乡，镇压抗日群众。
蔡起潜,伪湖州警察局局长,1938-1945,抗战期间任伪湖州警察局局长，协助日军搜捕抗日人员，维持占领区治安，迫害无辜百姓。
李钦文,伪吴兴县保安大队大队长,1940-1945,抗战期间在湖州吴兴地区组织伪保安大队，配合日军扫荡抗日游击队，残害抗日军民。
赵安民,伪长兴县县长,1941-1945,抗战期间任伪长兴县县长，在湖州长兴地区推行伪化统治，协助日军征粮、清乡。
钱家骧,伪安吉县维持会会长,1938-1943,抗战期间在湖州安吉地区组织伪维持会，为日军提供情报、物资，协助维持占领区秩序。
吴念中,伪浙江省教育厅厅长,1940-1945,抗战期间任汪伪浙江省教育厅厅长，在浙江推行奴化教育，篡改教材，宣传“大东亚共荣”。
孙祖基,伪浙江省建设厅厅长,1940-1945,抗战期间任汪伪浙江省建设厅厅长，配合日军掠夺浙江资源，修建军事设施。
章正范,伪浙江省警务处处长,1941-1945,抗战期间任汪伪浙江省警务处处长，统管浙江伪警察力量，镇压抗日活动，搜捕抗日志士。
徐季达,伪湖州商会会长,1938-1945,抗战期间任伪湖州商会会长，协助日军统制物资，为日军采购军需，压榨商户。
沈文华,伪德清县保安队队长,1942-1945,抗战期间在德清地区组织伪保安队，配合日军清乡，搜捕抗日人员，残害百姓。
陆费逵,伪湖州教育会会长,1940-1945,抗战期间在湖州地区推行奴化教育，组织伪教育会，宣传亲日思想，毒害青少年。
张啸林,伪浙江省政府委员、青帮头目,1937-1940,浙江杭州人，青帮头目，抗战期间投靠日军，任伪浙江省政府委员，在浙江一带组织伪军，镇压抗日力量。
