name,title,activity_period,notable_deeds
丁锡山,伪定海县知事,1939-1941,1939年6月日军占领定海后，出任伪定海县知事，协助日军维持占领秩序，推行保甲制度，强征粮食和劳工，镇压抗日活动。
王秉桢,伪定海县维持会会长,1939-1940,日军占领定海初期，组织维持会，为日军提供物资和情报，协助建立伪政权，迫害抗日民众。
林世昌,伪定海县警察局局长,1940-1943,担任伪警察局长期间，配合日军搜捕抗日分子，参与“清乡”行动，残害百姓，强征壮丁。
周文达,伪定海县商会会长,1940-1945,为日军筹措军饷，控制定海商业贸易，强制商户缴纳“慰劳金”，从中牟利，并协助日军掠夺战略物资。
陈国栋,伪定海县保安大队长,1941-1945,率领伪保安队配合日军扫荡舟山群岛，围剿抗日游击队，杀害多名抗日志士，烧毁渔村。
张兆铭,伪定海县教育科科长,1940-1944,推行奴化教育，强制学校教授日语和“中日亲善”课程，取缔抗日宣传，迫害爱国教师。
沈阿毛,伪定海县侦缉队队长,1942-1945,专门为日军搜集抗日情报，带领侦缉队抓捕地下党员和抗日群众，多次参与酷刑审讯，致死多人。
朱文元,伪舟山群岛自治会副会长,1943-1945,在舟山群岛推行“自治”运动，实际为日军服务，组织渔民为日军提供海上运输，协助封锁抗日物资流通。
李阿福,伪定海县田赋征收主任,1941-1945,为日军强征田赋和粮食，超额摊派，导致农民破产，并将搜刮的粮食直接供应日军军需。
王阿狗,伪定海县水上保安队队长,1942-1945,控制定海港及附近水域，为日军船只护航，搜查过往商船，劫掠抗日物资，并协助日军镇压海岛渔民反抗。
