name,title,activity_period,notable_deeds
徐鹏,汪伪浙江省政府警务处处长,1940-1945,在浙江衢州、江山一带协助日军清乡，抓捕抗日志士，强征民夫，破坏地下抗日组织。
周佛海（非本地，但涉及浙江）,汪伪行政院副院长兼财政部长,1940-1945,虽非衢州江山人，但其控制的伪政权在浙江各地推行保甲制度，间接参与对江山地区的经济掠夺和特务统治。
张北生,汪伪衢州地区维持会会长,1942-1945,在日军占领衢州期间，组织维持会，为日军提供粮食、情报，协助建立伪政权，迫害当地抗日家属。
毛鸿,江山县伪县长,1942-1945,日军占领江山后出任伪县长，推行“良民证”制度，强征壮丁，配合日军扫荡，镇压抗日游击队。
姜文锦,汪伪江山县保安大队长,1943-1945,率领伪保安队协助日军在江山各乡镇“清剿”抗日武装，杀害多名地下党员，抢劫百姓财物。
郑渭川,衢州伪商会会长,1942-1945,为日军统购粮食、桐油等战略物资，从中牟利，并强迫商户向日军献金，资助伪军。
王雨亭,汪伪江山县警察局局长,1943-1945,指挥伪警察搜捕抗日分子，破坏中共地下交通站，参与对被捕人员的酷刑审讯。
陈志远,衢州伪税务局局长,1942-1945,为日军征收各种苛捐杂税，包括“门牌税”、“人头税”，导致百姓负担沉重，部分收入用于供养伪军。
刘子衡,汪伪江山县教育科长,1943-1945,推行奴化教育，强制学校使用日伪教材，宣扬“中日亲善”，禁止教授中国历史。
周兆熊,衢州伪保安副司令,1942-1945,协助日军在衢州、江山边界设立封锁线，指挥伪军袭击抗日游击队，曾参与屠杀无辜村民事件。
