name,title,activity_period,notable_deeds
赵士桓,伪崖县维持会会长、伪崖县县长,1939-1945,日军侵占崖县后出面组织维持会，后任伪崖县县长，协助日军推行保甲、征粮、拉夫，镇压抗日群众。
陈多儒,伪崖县警察局长,1940-1945,在崖县（今三亚一带）充任伪警察头目，配合日军搜捕抗日人员，勒索民众，维持日伪统治秩序。
林瑞川,伪崖县自卫军司令,1941-1945,组织伪军配合日军对崖县、三亚地区抗日根据地进行扫荡，抓捕、杀害抗日军民。
吴伯熙,伪琼崖临时政府委员、伪崖县参议,1940-1945,在海南日伪政权中任职，参与推行奴化教育、征发劳工，为日军在崖县、三亚的统治效力。
黄鼎芬,伪崖县教育科长,1940-1945,在崖县推行日语奴化教育，篡改教材，宣传“大东亚共荣”，毒化当地青少年。
陈世训,伪崖县保甲长,1940-1945,在三亚附近乡村充任伪保甲长，为日军征粮、派夫、搜集情报，压迫当地百姓。
王鸣亚,伪琼崖临时政府副主席,1940-1945,海南伪政权高层人物，协助日军统治全琼，包括崖县、三亚地区，参与征粮、征丁和镇压抗日活动。
詹松年,伪琼崖临时政府委员兼伪海口市市长,1939-1945,海南伪政权要员，虽主要在海口活动，但其伪政权体系覆盖崖县、三亚，参与经济掠夺和治安强化。
李春农,伪琼崖临时政府警务处长,1940-1945,统管海南伪警察系统，崖县、三亚伪警察受其节制，参与搜捕抗日人士、镇压民众。
符致逢,伪崖县商会会长,1940-1945,在崖县、三亚为日军筹款、征购物资，协助经济统制，压榨商民。
