name,title,activity_period,notable_deeds
詹松年,伪琼崖临时政府委员长、伪琼崖民众自卫军司令,1939-1945,海南沦陷后投敌，出任伪琼崖临时政府委员长，组建伪军配合日军对琼崖抗日根据地和海南民众进行镇压、清乡与掠夺。
吴伯,伪琼崖临时政府副委员长,1939-1945,参与组织伪琼崖临时政府，协助日军推行殖民统治，在海南地区进行诱降、征粮和维持治安等附逆活动。
林荟材,伪琼崖临时政府委员、伪海口市市长,1939-1945,在海南海口等地为日军服务，参与伪政权行政事务，协助日军控制城镇与港口，压迫当地民众。
李春农,伪琼崖临时政府委员、伪文昌县县长,1939-1945,在文昌一带组织伪政权和伪维持会，配合日军扫荡抗日游击区，征发民夫与物资。
王毅,伪琼崖临时政府委员、伪琼山县县长,1939-1945,在琼山地区协助日军建立保甲与维持会体系，参与镇压抗日群众和封锁抗日根据地。
陈质平,伪海南岛海军特务部嘱托、伪琼崖临时政府顾问,1939-1945,与日军海军特务部合作，参与海南岛资源调查与经济掠夺，为日军统治出谋划策。
黄强,伪琼崖临时政府委员、伪澄迈县县长,1939-1945,在澄迈地区组织伪政权，配合日军征粮、修路和清乡，压制当地抗日力量。
符和积,伪琼崖临时政府委员、伪临高县县长,1939-1945,在临高一带推行伪政令，协助日军控制沿海地区，参与对抗日根据地的经济封锁。
吴道南,伪琼崖临时政府委员、伪儋县县长,1939-1945,在儋县地区建立伪维持会与伪保安队，配合日军扫荡，迫害抗日军民。
陈武,伪琼崖临时政府委员、伪定安县县长,1939-1945,在定安地区协助日军推行保甲制度，组织伪自卫团，参与对抗日游击队的围剿。
何定之,伪琼崖临时政府委员、伪乐会县县长,1939-1945,在乐会地区为日军征发粮食和劳工，维持伪政权统治，镇压当地抗日活动。
王会东,伪琼崖临时政府委员、伪万宁县县长,1939-1945,在万宁地区组织伪政权和伪军，配合日军对六连岭等抗日根据地进行扫荡。
陈明枢,伪琼崖临时政府委员、伪陵水县县长,1939-1945,在陵水地区协助日军控制黎族、苗族聚居区，征发物资，参与镇压抗日群众。
李鼎京,伪琼崖临时政府委员、伪崖县县长,1939-1945,在崖县地区为日军服务，参与伪政权行政与治安维持，协助日军掠夺三亚、榆林等地资源。
吴以珍,伪琼崖临时政府委员、伪昌江县县长,1939-1945,在昌江地区组织伪维持会，配合日军开采石碌铁矿等资源，奴役当地劳工。
陈汉光,伪琼崖临时政府委员、伪感恩县县长,1939-1945,在感恩地区协助日军建立伪政权，征粮征夫，参与对沿海抗日活动的镇压。
王定华,伪琼崖临时政府委员、伪白沙县县长,1939-1945,在白沙地区为日军推行伪政令，参与对黎族抗日武装的镇压与诱降活动。
陈继福,伪琼崖临时政府委员、伪保亭县县长,1939-1945,在保亭地区协助日军控制山区，组织伪自卫队，参与清乡与物资掠夺。
王昭夷,伪琼崖临时政府委员、伪乐东县县长,1939-1945,在乐东地区为日军服务，参与伪政权统治，协助日军镇压黎族、苗族抗日力量。
林岳,伪琼崖临时政府委员、伪琼东县县长,1939-1945,在琼东地区组织伪维持会与伪保安队，配合日军扫荡抗日根据地，征发粮食劳工。
符大庄,伪海口市维持会会长,1939-1945,在海口组织伪维持会，协助日军维持城市秩序、征发物资和搜捕抗日人员。
陈世德,伪三亚维持会会长,1939-1945,在三亚地区组织伪维持会，配合日军控制榆林港与三亚资源，压迫当地民众。
吴乾甫,伪西沙群岛维持会会长,1939-1945,在日军侵占西沙群岛后，参与组织伪维持会，协助日军管理岛屿、掠夺磷矿资源并监视渔民。
李福林,伪西沙群岛伪军头目,1939-1945,在西沙群岛为日军招募伪军，协助日军巡逻岛屿、控制渔民和掠夺资源。
陈那乐,伪南沙群岛维持会成员,1939-1945,在日军侵占南沙部分岛礁后，参与伪维持会活动，协助日军进行岛屿管理和资源调查。
