name,title,activity_period,notable_deeds
王劲哉,伪通城县维持会会长,1938-1940,日军侵占通城后出面组织维持会，为日军征派粮秣、拉夫，协助维持占领区秩序。
李慧溪,伪咸宁县维持会会长,1938-1941,咸宁沦陷后投敌，组织伪维持会，替日军摊派捐税、征集民夫，并参与诱降地方武装。
陈铁生,伪咸宁县警察局局长,1939-1943,在咸宁地区组建伪警察队伍，配合日军清乡、搜捕抗日人员，镇压当地民众。
刘文藻,伪蒲圻县维持会会长,1938-1940,蒲圻沦陷后任伪维持会会长，为日军筹粮、带路，并协助建立伪基层保甲。
张楚材,伪湖北省政府委员兼伪咸宁专区专员,1940-1945,在湖北伪政权中任职，负责咸宁一带的伪化行政，推行保甲连坐，配合日军经济掠夺。
何佩瑢,伪湖北省政府省长,1940-1942,湖北伪政权最高头目，在包括咸宁在内的湖北沦陷区推行伪化统治，为日军征粮、征兵。
杨揆一,伪湖北省政府省长、伪武汉行营主任,1942-1945,继何佩瑢后主政湖北伪政权，统辖咸宁等沦陷区伪军伪警，配合日军扫荡抗日根据地。
叶蓬,伪武汉绥靖公署主任、伪湖北省政府主席,1943-1945,在湖北沦陷区统率伪军，参与日军对鄂南、咸宁一带的清乡与扫荡。
雷寿荣,伪湖北省政府委员、伪汉口特别市市长,1938-1945,湖北伪政权要员，参与制定并推行沦陷区统制经济政策，影响咸宁等地的物资征调。
石星川,伪湖北省政府委员、伪汉口特别市市长,1938-1945,投敌后任伪职，协助日军在湖北包括咸宁地区实施物资统制与奴化宣传。
程汉卿,伪鄂南保安司令部司令,1941-1945,在鄂南咸宁、通城一带收编土匪、伪军，配合日军进攻抗日游击区，残害百姓。
金亦吾,伪鄂南清乡司令,1942-1945,在咸宁、通城等鄂南地区推行清乡，搜捕抗日人员，强征民夫修筑据点。
王剪波,伪通城县保安大队大队长,1940-1945,率伪保安队盘踞通城，为日军征粮、带路，多次配合日军袭扰周边抗日武装。
吴良琛,伪咸宁县保安大队大队长,1940-1945,在咸宁地区组织伪保安队，协助日军维持占领区，参与搜捕抗日军民。
周剑秋,伪崇阳县维持会会长,1939-1941,崇阳沦陷后组织维持会，为日军筹办粮草、征集民夫，并协助建立伪区乡政权。
黄楚楠,伪嘉鱼县维持会会长,1938-1940,嘉鱼沦陷后投敌，任伪维持会会长，替日军摊派捐税、维持地方伪秩序。
胡宗铎,伪湖北省政府委员,1940-1945,湖北伪政权成员，参与沦陷区行政与奴化教育事务，影响范围包括咸宁地区。
方本仁,伪湖北省政府委员,1940-1945,在湖北伪政权中任职，协助日军推行伪化政策，涉及咸宁等鄂南地区。
李芳,伪通城县教育科科长,1941-1945,在通城推行奴化教育，强制学校使用伪教材，宣传“大东亚共荣圈”。
陈季平,伪咸宁县商会会长,1939-1945,在咸宁为日军统制物资，强制商户配给，协助日军掠夺地方经济资源。
