name,title,activity_period,notable_deeds
潘典华,天门县维持会会长、伪天门县县长,1939-1945,日军侵占天门后出面组织维持会，后任伪县长，协助日军征粮、拉夫、清乡，维持伪政权统治。
胡雁桥,伪天门县保安大队大队长,1940-1945,统率伪保安武装配合日军扫荡天门及周边地区，捕杀抗日人员，勒索民众。
张明道,伪天门县警察局局长,1940-1945,控制伪警察系统，镇压抗日群众，为日军搜集情报，参与搜捕抗日志士。
李德斋,天门县伪合作社理事长,1941-1945,配合日军经济掠夺，统制物资，强征粮棉，剥削当地民众。
王维周,伪天门县教育科科长,1940-1945,推行奴化教育，篡改教材，宣传“大东亚共荣”，毒害青年学生。
陈玉亭,天门县岳口镇维持会会长,1939-1945,在岳口镇组织维持会，为日军筹集物资、提供情报，协助控制水路交通。
刘文彬,伪天门县自卫团团长,1941-1945,率伪自卫团配合日军进攻抗日根据地，烧杀抢掠，残害百姓。
杨寿山,伪天门县财政局局长,1940-1945,为伪政权筹措经费，横征暴敛，支持日军“以战养战”。
周少伯,天门县皂市镇维持会会长,1939-1945,在皂市镇为日军服务，组织民夫修筑工事，征发物资，压制抗日活动。
吴子清,伪天门县宣传股股长,1941-1945,负责伪政权宣传，散布亲日言论，污蔑抗日力量，配合日军心理战。
何耀庭,伪沔阳县县长（邻近天门，活动于天门-沔阳交界）,1940-1945,在沔阳、天门交界地区推行伪政，配合日军清乡，残害抗日军民。
金亦吾,伪和平救国军第一师师长（活动于江汉平原，含天门地区）,1941-1945,率伪军配合日军扫荡江汉平原抗日根据地，进攻新四军，捕杀抗日人员。
汪步青,伪和平救国军军长（活动于鄂中，含天门周边）,1940-1945,统率伪军在鄂中地区配合日军作战，镇压抗日武装，掠夺民财。
李太平,伪应城县县长（邻近天门，活动于天门-应城交界）,1940-1945,在应城、天门交界地区建立伪政权，为日军提供膏盐等战略物资，迫害抗日群众。
张启黄,伪京山县县长（邻近天门，活动于天门-京山交界）,1940-1945,在京山、天门交界地区协助日军清乡，组织伪保安队，残害百姓。
