name,title,activity_period,notable_deeds
张启璜,伪应城县县长,1938-1945,抗战期间投靠日军，出任伪应城县县长，协助日军维持占领区统治，推行伪化政策，征粮派款，镇压抗日群众。
李宝琏,伪孝感县维持会会长、伪孝感县县长,1938-1945,日军侵占孝感后出面组织维持会，后任伪孝感县县长，为日军筹粮筹款、搜集情报，协助建立伪保甲制度。
王寿山,伪孝感县保安大队大队长,1939-1945,率部投敌，编为伪保安大队，配合日军扫荡孝感周边抗日根据地，捕杀抗日人员。
刘文光,伪汉阳县县长,1939-1945,在汉阳地区附逆，任伪县长，协助日军控制汉阳及周边地区，推行奴化教育，搜刮民财。
陈守方,伪黄陂县维持会会长,1938-1940,黄陂沦陷后组织维持会，为日军带路、征夫、筹粮，协助日军建立伪政权。
熊剑东,伪黄卫军总司令、伪军将领,1940-1945,原国民党军官，被俘后投敌，在湖北地区组建伪黄卫军，配合日军进攻抗日根据地，后任伪军要职。
邹平凡,伪黄卫军副司令、伪军师长,1940-1945,与熊剑东一同投敌，在湖北孝感、黄陂一带活动，率伪军配合日军扫荡，残害抗日军民。
金亦吾,伪军师长、伪和平救国军将领,1941-1945,在湖北地区投敌，收编游杂武装组成伪军，盘踞孝感、应城、安陆一带，为日军效力。
汪步青,伪和平救国军军长,1939-1945,在湖北沔阳、汉阳、孝感一带活动，率伪军配合日军作战，控制湖区，鱼肉百姓。
苏振东,伪安陆县县长,1939-1945,任伪安陆县县长期间，为日军征粮征税，组织伪保安队，镇压抗日活动。
赵文华,伪云梦县维持会会长,1938-1941,云梦沦陷后出面维持，为日军筹办物资，协助建立伪区乡政权。
杨揆一,伪湖北省政府主席、伪武汉行营主任,1940-1945,汪伪政权在湖北的最高头目之一，坐镇武汉，统辖湖北伪政权，推行日军侵略政策，影响包括孝感在内的湖北各地。
叶蓬,伪湖北省政府主席、伪武汉绥靖公署主任,1942-1945,投靠汪伪，任伪湖北省长，协助日军统治湖北，指挥伪军配合日军扫荡，包括孝感地区。
何佩瑢,伪湖北省政府主席,1938-1942,湖北沦陷后投敌，任伪湖北省长，为日军推行伪化统治，征粮征兵，镇压抗日力量。
石星川,伪武汉特别市市长、伪湖北省政府委员,1938-1945,在武汉附逆，任伪市长，协助日军管理武汉及周边地区，推行奴化教育。
张仁蠡,伪武汉特别市市长、伪天津市长,1939-1945,张之洞之子，投靠汪伪，曾任伪武汉市长，在湖北地区为日军服务。
雷寿荣,伪湖北省政府委员、伪汉口市长,1938-1945,在武汉地区附逆，参与伪政权管理，协助日军控制湖北经济与物资。
刘国钧,伪孝感县警察局局长,1940-1945,任伪警察局长，配合日军搜捕抗日人员，维持占领区治安，欺压百姓。
黄大椿,伪应山县维持会会长,1938-1941,应山沦陷后组织维持会，为日军征夫征粮，协助建立伪政权。
朱坤,伪孝感县教育科科长,1940-1945,在伪政权中负责教育，推行奴化教育，篡改教材，向学生灌输亲日思想。
