name,title,activity_period,notable_deeds
张仁蠡,伪武汉特别市市长、伪湖北省政府委员,1938-1945,张之洞之子，抗战期间投靠日军，历任伪武汉特别市市长、伪湖北省政府委员等职，参与日伪在湖北的殖民统治，其活动范围覆盖武汉及周边孝感、云梦等地。
何佩瑢,伪湖北省政府主席,1938-1942,抗战期间投敌，1938年出任伪湖北省政府主席，协助日军维持湖北沦陷区统治，其伪政权管辖范围包括孝感、云梦等县。
杨揆一,伪湖北省政府主席、伪武汉行营主任,1942-1945,继何佩瑢后任伪湖北省政府主席，并兼伪武汉行营主任，统辖湖北伪军伪警，配合日军清乡扫荡，孝感、云梦一带在其伪政权控制之下。
叶蓬,伪武汉绥靖公署主任、伪湖北省政府主席,1942-1945,原国民党将领，投敌后任伪武汉绥靖公署主任、伪湖北省政府主席，统率伪军配合日军在湖北各地包括孝感、云梦地区进行治安强化运动。
石星川,伪汉口特别市市长、伪湖北省政府委员,1938-1945,抗战期间投敌，曾任伪汉口特别市市长，参与日伪在湖北的行政统治，其影响波及孝感、云梦等周边地区。
雷寿荣,伪孝感县维持会会长、伪孝感县县长,1938-1945,孝感沦陷后出面组织维持会，后任伪孝感县县长，为日军征粮派款、维持地方伪秩序，直接管辖孝感及邻近云梦地区。
王寿山,伪云梦县维持会会长,1938-1940,云梦沦陷后组织伪维持会，协助日军建立伪政权，在云梦地区推行奴化教育、征发民夫，为当地知名附逆者。
李经世,伪云梦县县长,1940-1945,任伪云梦县县长期间，配合日军清乡，组织伪保安队，镇压抗日活动，是云梦地区伪政权的主要头目之一。
刘文岛,伪黄陂县县长、伪孝感专区伪职,1939-1945,在孝感周边地区任伪职，协助日军控制鄂东、鄂中一带，其活动范围与孝感、云梦相邻。
陈守方,伪应城县县长,1940-1945,应城与云梦相邻，陈守方任伪应城县县长，配合日军在鄂中地区征粮、清乡，与云梦伪政权有协同行动。
张伯常,伪安陆县维持会会长、伪安陆县县长,1938-1945,安陆与云梦接壤，张伯常在安陆组织伪维持会并任伪县长，协助日军控制鄂中北地区，与孝感、云梦伪政权联系密切。
黄子安,伪孝感县保安大队大队长,1941-1945,统率伪保安队配合日军在孝感、云梦一带进行扫荡，捕杀抗日人员，是当地伪军头目之一。
周明钦,伪孝感县警察局局长,1940-1945,任伪孝感县警察局局长，协助日军维持治安，镇压抗日群众，其警务活动覆盖孝感及云梦部分地区。
徐源泉,伪湖北绥靖军将领,1943-1945,原国民党将领，后投敌任伪湖北绥靖军要职，率部在鄂中包括孝感、云梦地区配合日军作战。
汪步青,伪和平救国军军长,1940-1945,在湖北沔阳、汉川、孝感一带活动，率伪军配合日军清乡，其势力范围接近云梦地区。
李宝琏,伪和平救国军师长,1941-1945,在鄂中地区率伪军活动，与孝感、云梦一带的日伪政权协同，参与对抗日根据地的扫荡。
王劲哉,伪军头目（后投日）,1943-1945,原国民党将领，1943年被俘后投日，在湖北沔阳、汉川、孝感一带组织伪军，其活动区域与云梦相邻。
陈耀汉,伪湖北省政府委员、伪民政厅厅长,1938-1945,在伪湖北省政府中任职，参与制定沦陷区民政政策，其管辖范围包括孝感、云梦等县。
贺遐昌,伪湖北省政府委员、伪财政厅厅长,1938-1945,任伪湖北省财政厅厅长，为日伪在湖北包括孝感、云梦地区征敛粮款，支持日军侵略。
刘亚藩,伪孝感县教育科科长,1940-1945,在孝感推行奴化教育，编写亲日教材，培训伪教职员，其教育附逆活动影响云梦等周边县。
