name,title,activity_period,notable_deeds
张仁蠡,伪武汉特别市市长、伪湖北省政府主席,1939-1945,张之洞幼子，抗战期间投敌，历任伪武汉特别市市长、伪湖北省政府主席等职，在湖北推行伪化统治，为日军搜刮物资、镇压抗日力量。
何佩瑢,伪湖北省政府省长,1938-1942,北洋时期曾任湖北省长，抗战后投敌，1938年出任伪湖北省政府省长，协助日军维持湖北沦陷区统治，1942年被日军毒杀。
杨揆一,伪湖北省政府主席、伪国民政府参谋总长,1940-1945,抗战期间投靠汪伪政权，曾任伪湖北省政府主席、伪国民政府参谋总长等职，参与湖北伪政权建设与伪军整编。
叶蓬,伪武汉绥靖公署主任、伪湖北省政府主席,1939-1945,原国民党将领，抗战期间投敌，历任伪武汉绥靖公署主任、伪湖北省政府主席，在湖北地区组织伪军配合日军作战。
石星川,伪汉口特别市市长,1938-1945,抗战期间投敌，出任伪汉口特别市市长，协助日军管理武汉地区，推行伪化政策。
张若柏,伪宜昌县维持会会长,1940-1945,宜昌沦陷后组织伪维持会，协助日军维持地方秩序、征发物资，为日军侵华提供后勤支持。
李固,伪宜昌县县长,1940-1945,抗战期间出任伪宜昌县县长，在宜昌地区推行伪政，配合日军清乡、征粮。
王寿山,伪宜都县维持会会长,1940-1945,宜都沦陷后出面组织伪维持会，协助日军控制宜都地方，征发民夫物资。
刘筱约,伪宜都县保安团团长,1940-1945,抗战期间在宜都地区组织伪保安团，配合日军扫荡抗日武装，维护伪政权统治。
陈守方,伪宜昌县警察局局长,1940-1945,宜昌沦陷期间任伪警察局局长，协助日军镇压抗日活动，搜捕抗日人员。
周德胜,伪宜昌县保安大队大队长,1940-1945,在宜昌地区统领伪保安大队，配合日军进行清乡、扫荡，残害抗日群众。
黄楚楠,伪宜昌县教育科科长,1940-1945,在宜昌推行奴化教育，篡改教材，向学生灌输亲日思想，为日军文化侵略服务。
谭道平,伪宜都县警察所所长,1940-1945,宜都沦陷期间任伪警察所所长，协助日军维持治安，抓捕抗日人士。
朱怀冰,伪宜昌县商会会长,1940-1945,抗战期间投敌，出任伪宜昌县商会会长，为日军筹款筹粮，协助经济掠夺。
