name,title,activity_period,notable_deeds
张仁蠡,伪武汉特别市市长、伪湖北省政府委员,1938-1945,张之洞之子，抗战期间投靠日军，历任伪武汉特别市市长、伪湖北省政府委员等职，参与日伪在湖北的殖民统治。
何佩瑢,伪湖北省政府主席,1938-1942,北洋旧官僚，抗战期间出任伪湖北省政府主席，协助日军维持湖北沦陷区统治，1942年病死。
杨揆一,伪湖北省政府主席、伪武汉行营主任,1942-1945,接替何佩瑢任伪湖北省政府主席，后兼伪武汉行营主任，为日军在湖北征集物资、镇压抗日力量。
叶蓬,伪武汉绥靖公署主任、伪湖北省政府主席,1940-1945,原国民党将领，投敌后任伪武汉绥靖公署主任、伪湖北省政府主席，统率伪军配合日军进攻抗日根据地。
石星川,伪汉口特别市市长,1938-1940,抗战初期投敌，出任伪汉口特别市市长，协助日军维持武汉地区治安与物资征调。
张范民,伪宜昌县维持会会长、伪宜昌县县长,1940-1945,宜昌沦陷后组织维持会，后任伪宜昌县县长，为日军征发民夫、物资，推行保甲连坐。
李铁生,伪宜昌县警察局局长,1940-1945,任伪宜昌县警察局局长，配合日军搜捕抗日人员，镇压民众反抗。
王寿山,伪远安县维持会会长,1940-1945,远安地区沦陷后出面组织维持会，为日军筹粮派款，协助建立伪基层政权。
陈汉卿,伪当阳县维持会会长、伪当阳县县长,1940-1945,当阳沦陷后投敌，历任伪维持会会长、伪县长，配合日军对宜昌、远安一带进行扫荡。
刘筱约,伪宜昌县保安团团长,1941-1945,率伪保安团配合日军在宜昌、远安交界地区清乡，抓捕抗日军民。
周德胜,伪远安县保安队队长,1941-1945,任伪远安县保安队队长，协助日军维持远安及周边地区治安，参与镇压抗日活动。
黄协和,伪宜昌县教育科科长,1940-1945,在宜昌推行奴化教育，编写亲日教材，组织师生参加日伪宣传活动。
吴子良,伪宜昌县商会会长,1940-1945,任伪宜昌县商会会长，为日军筹办军需物资，协助统制沦陷区经济。
赵文卿,伪远安县合作社理事长,1941-1945,控制远安沦陷区物资流通，为日军收购粮食、棉花等战略物资。
