name,title,activity_period,notable_deeds
张仁蠡,伪武汉特别市市长、伪湖北省政府委员兼伪汉口市市长,1939-1945,张之洞之子，抗战期间投敌，历任伪武汉特别市市长、伪湖北省政府委员兼伪汉口市市长等职，在武汉地区推行日伪统治，协助日军维持占领秩序。
何佩瑢,伪湖北省政府主席、伪湖北省省长,1938-1942,抗战期间投敌，1938年后历任伪湖北省政府主席、伪湖北省省长，为日军在湖北地区推行殖民统治，参与伪政权建设与治安维持。
杨揆一,伪湖北省政府主席、伪湖北省省长,1942-1945,何佩瑢死后继任伪湖北省政府主席、伪湖北省省长，继续为日军服务，在湖北地区推行伪化统治，协助日军征粮、征工、维持治安。
叶蓬,伪武汉绥靖公署主任、伪湖北省政府主席,1940-1945,抗战期间投敌，曾任伪武汉绥靖公署主任、伪湖北省政府主席等职，在武汉及湖北地区统率伪军，配合日军进攻抗日根据地，镇压抗日力量。
石星川,伪汉口特别市市长、伪武汉特别市参议府议长,1938-1945,抗战期间投敌，在武汉地区历任伪汉口特别市市长、伪武汉特别市参议府议长等职，参与伪政权统治，协助日军维持武汉占领区秩序。
张仁杰,伪武汉特别市警察局局长,1939-1945,在伪武汉特别市政权中担任警察局局长，负责武汉地区伪警察事务，协助日军镇压抗日活动、搜捕抗日人员、维持殖民统治秩序。
刘国钧,伪汉口市商会会长、伪汉口特别市维持会委员,1938-1945,武汉沦陷后参与伪维持会及伪商会活动，协助日军筹措物资、摊派款项，在经济领域附逆，为日伪统治服务。
涂瀛,伪武昌维持会会长,1938-1939,武汉沦陷初期参与组织伪武昌维持会，任会长，协助日军维持武昌地区秩序，为日军占领武汉提供地方配合。
李炎汉,伪汉阳县维持会会长、伪汉阳县政府县长,1938-1945,武汉沦陷后在汉阳地区参与伪维持会并任伪汉阳县政府县长，协助日军在汉阳及周边地区推行伪化统治，征粮征工。
王寿山,伪黄陂县维持会会长,1938-1945,在黄陂地区参与伪维持会活动，协助日军维持地方治安、筹措物资，为日伪在武汉北部地区的统治服务。
陈守方,伪孝感县县长,1938-1945,抗战期间在孝感地区任伪县长，协助日军推行伪化统治，征粮征工，维持地方治安，配合日军对周边抗日力量进行压制。
朱坤,伪黄冈县维持会会长,1938-1945,在黄冈地区参与伪维持会活动，协助日军维持地方秩序、摊派物资，为日伪在武汉东部地区的统治提供地方支持。
刘文岛,伪湖北省政府委员、伪汉口市市长,1939-1945,抗战期间投敌，在伪湖北省及伪汉口市政权中任职，参与伪政权管理，协助日军在武汉地区推行殖民统治。
周佛海,伪国民政府行政院副院长、伪财政部部长，曾管辖武汉地区伪政权事务,1940-1945,作为汪伪政权核心人物，其财政、行政权力覆盖包括武汉在内的华中占领区，参与伪政权决策，协助日军对武汉及湖北地区进行经济掠夺与统治。
李士群,伪特工总部主任，势力覆盖武汉地区,1939-1943,汪伪特工头目，其特务组织在武汉地区活动，镇压抗日人员、破坏抗日组织，为日伪在武汉及湖北地区的统治提供特务支持。
