name,title,activity_period,notable_deeds
张仁蠡,伪武汉特别市市长、伪湖北省政府主席,1939-1945,张之洞之子，抗战期间投靠日军，历任伪武汉特别市市长、伪湖北省政府主席等职，协助日军推行殖民统治，掠夺物资，镇压抗日活动。
何佩瑢,伪湖北省政府主席、伪武汉特别市市长,1938-1942,北洋旧官僚，武汉沦陷后出面组织伪政权，任伪武汉特别市市长、伪湖北省政府主席，为日军筹粮筹款，推行奴化教育。
杨揆一,伪湖北省政府主席、伪武汉行营主任,1940-1945,日本陆军士官学校毕业，投敌后任伪湖北省政府主席、伪武汉行营主任等职，配合日军清乡扫荡，镇压抗日力量。
叶蓬,伪武汉绥靖公署主任、伪湖北省政府主席,1939-1945,原国民党将领，投敌后任伪武汉绥靖公署主任、伪湖北省政府主席，统率伪军配合日军进攻抗日根据地，残害百姓。
石星川,伪武汉特别市参议府议长、伪湖北省政府委员,1938-1945,辛亥革命旧人，武汉沦陷后附逆，任伪武汉特别市参议府议长等职，为日军统治粉饰门面，协助推行伪化政策。
雷寿荣,伪武汉特别市警察总监,1939-1945,任伪武汉特别市警察总监，指挥伪警察配合日军搜捕抗日人士，维持殖民秩序，镇压市民反抗。
刘翰如,伪武汉特别市社会局局长、伪湖北省政府委员,1939-1945,在伪武汉政权中任职，负责社会控制与物资统制，协助日军征发劳工、配给物资，推行奴化宣传。
涂允檀,伪武汉特别市财政局局长,1939-1945,掌管伪武汉特别市财政，为日军搜刮民财，征收苛捐杂税，支持伪政权运转与日军军需。
王知生,伪汉阳县县长,1939-1945,任伪汉阳县县长，在汉阳地区推行保甲制度，征发劳工与物资，配合日军清乡，镇压当地抗日活动。
李义生,伪汉阳县维持会会长,1938-1940,汉阳沦陷后组织伪维持会，任会长，为日军带路、筹粮、招募苦力，协助建立伪基层政权。
陈守方,伪武昌县县长,1939-1945,任伪武昌县县长，在武昌地区推行伪化统治，征粮征丁，配合日军扫荡抗日游击队。
刘国钧,伪汉口市市长,1938-1939,汉口沦陷初期任伪汉口市市长，组织伪政权，维持殖民秩序，为日军筹集物资。
吴国桢,伪汉口特别市市长,1940-1945,任伪汉口特别市市长，协助日军实施经济统制，推行奴化教育，镇压抗日活动。
张伯常,伪湖北省政府教育厅厅长,1940-1945,任伪湖北省教育厅厅长，推行奴化教育，篡改教材，宣传“大东亚共荣圈”，毒化青年思想。
胡兰生,伪湖北省政府宣传处处长,1940-1945,负责伪湖北省宣传事务，为日军侵略辩护，散布亲日言论，压制抗日舆论。
谢伯勋,伪武汉特别市商会会长,1939-1945,任伪武汉商会会长，协助日军统制物资，强制商户配给，为日军筹款筹物。
周鸿勋,伪武汉特别市总工会理事长,1939-1945,组织伪工会，协助日军控制劳工，征发苦力，压制工人反抗。
黄大中,伪湖北省保安司令部司令,1940-1945,统率伪保安部队配合日军清乡，进攻抗日根据地，捕杀抗日军民。
李宝琏,伪武汉绥靖公署参谋长,1940-1945,任伪武汉绥靖公署参谋长，参与策划对抗日武装的军事行动，协助日军维持占领区治安。
陈中孚,伪湖北省政府建设厅厅长,1940-1945,任伪湖北省建设厅厅长，为日军修建军事设施、掠夺资源，推行殖民经济政策。
