name,title,activity_period,notable_deeds
雷筱圃,伪湖北省政府委员、伪荆宜道尹,1938-1945,抗战期间投敌，历任伪湖北省政府委员、伪荆宜道尹等职，管辖荆州、宜昌一带伪政权，推行日军殖民统治，搜刮民财，镇压抗日活动。
王劲哉,伪军头目（后反正）,1938-1943,原为国民党军将领，1943年在湖北沔阳、监利、石首一带被日军俘虏后一度附逆，所部被编为伪军，后脱离日伪控制。
金亦吾,伪湖北省政府委员、伪军师长,1940-1945,抗战期间在湖北投敌，任伪湖北省政府委员、伪军师长等职，在荆州、石首周边地区配合日军清乡、扫荡抗日武装。
李宝琏,伪荆门县维持会会长,1939-1945,在荆州北部荆门地区组织伪维持会，为日军征粮派款、搜集情报，协助日军控制地方基层。
张启璜,伪石首县维持会会长,1940-1945,石首沦陷后出面组织伪维持会，充当日伪政权在石首的代理人，负责摊派捐税、维持治安，配合日军统治。
刘文彬,伪江陵县县长,1940-1945,任伪江陵县县长期间，在荆州城区及周边推行伪化教育、经济统制，为日军掠夺物资，镇压民众抗日活动。
陈楚斌,伪监利县维持会会长,1941-1945,在监利、石首交界地区组织伪维持会，协助日军封锁长江航道，盘查抗日人员，为日军提供情报。
周老九,伪军保安团团长,1942-1945,在石首、公安一带收编土匪武装，投靠日军任伪保安团团长，配合日军扫荡抗日根据地，残害百姓。
何佩瑢,伪湖北省政府主席,1938-1942,抗战初期投敌，任伪湖北省政府主席，在湖北全省推行伪化统治，其政令覆盖荆州、石首地区，为日军侵华服务。
杨揆一,伪湖北省政府主席、伪武汉行营主任,1940-1945,继何佩瑢后任伪湖北省政府主席，统辖湖北伪政权，包括荆州、石首等地的伪县政权，积极推行日军殖民政策。
叶蓬,伪武汉绥靖公署主任、伪湖北省政府主席,1942-1945,抗战后期任伪湖北省政府主席兼伪武汉绥靖公署主任，指挥伪军配合日军在湖北各地清乡，荆州、石首一带伪军多受其节制。
熊剑东,伪军师长、伪税警团团长,1943-1945,在湖北地区收编伪军，活动于荆州、监利、石首沿江地带，为日军守护交通线、征收赋税，镇压抗日力量。
