name,title,activity_period,notable_deeds
张启璜,伪老河口维持会会长,1938-1945,抗战期间在老河口沦陷后出面组织伪维持会，协助日军征粮、派夫、维持地方秩序，为日军侵略服务。
王丹忱,伪襄阳县政府筹备处主任、伪襄阳县县长,1940-1945,日军侵占襄阳后投敌，参与筹建伪襄阳县政权，任伪县长期间推行保甲、征粮、拉夫，配合日军清乡与扫荡。
刘汉屏,伪襄阳县警察局局长,1941-1945,在伪襄阳县政权中掌管警察武装，搜捕抗日人员，镇压民众反抗，协助日军维持占领区治安。
李朗星,伪襄阳保安团团长,1941-1945,组织伪保安团配合日军对襄阳周边抗日根据地进行袭扰，抓捕、审讯抗日军民。
陈守谦,伪老河口区维持会副会长,1939-1945,协助伪维持会会长办理日军摊派、物资征集与情报传递，为日军控制老河口提供支持。
赵文波,伪光化县（今老河口）县长,1940-1945,在光化县沦陷区任伪县长，推行伪化教育、征粮征丁，配合日军对老河口及周边地区的统治。
何佩瑢,伪湖北省政府主席,1938-1942,湖北沦陷后投敌，任伪湖北省长，建立伪政权体系，为日军在湖北包括襄阳、老河口一带的统治提供行政支持。
杨揆一,伪湖北省政府主席、伪武汉行营主任,1942-1945,继何佩瑢后任伪湖北省长，继续推行伪化政策，统辖包括襄阳在内的伪政权，协助日军征粮、清乡。
叶蓬,伪武汉绥靖公署主任、伪湖北省政府主席,1943-1945,在湖北任伪职期间，统率伪军配合日军作战，对襄阳、老河口等地的抗日力量进行镇压与扫荡。
雷寿荣,伪襄阳县教育科科长,1941-1945,在伪襄阳县推行奴化教育，篡改教材，宣传“大东亚共荣”，毒化沦陷区青少年。
周汉臣,伪老河口商会会长,1939-1945,以商会名义为日军筹集物资、摊派款项，协助日军对老河口工商业进行控制与掠夺。
黄子安,伪襄阳县保甲长,1940-1945,在基层推行保甲连坐，监视民众，向日军和伪政权报告抗日人员行踪，协助征粮拉夫。
