name,title,activity_period,notable_deeds
叶蓬,伪武汉特别市市长、伪湖北省政府主席、伪国民政府参军长,1938-1945,湖北黄陂人，早年即为国民党将领，抗战期间投靠汪精卫伪政权，历任伪武汉特别市市长、伪湖北省政府主席等职，在湖北地区推行伪化统治，协助日军征粮、征兵、镇压抗日力量。
何佩瑢,伪湖北省政府省长、伪湖北省政府主席,1938-1942,湖北黄冈人，抗战期间投敌，1938年出任伪湖北省政府省长，后任伪湖北省政府主席，在湖北沦陷区建立伪政权，配合日军维持占领秩序，推行奴化教育。
杨揆一,伪湖北省政府主席、伪国民政府参谋总长,1940-1945,湖北黄冈人，汪精卫伪政权重要成员，曾任伪湖北省政府主席，在湖北地区协助日军实施殖民统治，参与伪军整编与治安强化运动。
石星川,伪湖北省政府省长、伪汉口特别市市长,1938-1945,湖北阳新人，抗战期间投靠日军，历任伪湖北省政府省长、伪汉口特别市市长，在武汉及湖北地区推行伪政，协助日军掠夺物资、镇压抗日活动。
张仁蠡,伪武汉特别市市长、伪天津特别市市长,1938-1945,河北南皮人，张之洞之子，抗战期间投敌，曾任伪武汉特别市市长，在武汉地区配合日军统治，后调任伪天津特别市市长。
雷寿荣,伪湖北省政府委员、伪汉口特别市市长,1938-1945,湖北人，抗战期间在湖北沦陷区任职伪政权，曾任伪汉口特别市市长，协助日军维持武汉地区治安与物资统制。
王揖唐,伪华北政务委员会委员长、伪国民政府考试院院长,1937-1945,安徽合肥人，北洋旧官僚，抗战期间投靠日军，虽主要在华北活动，但与湖北伪政权有联系，其伪化政策对湖北沦陷区有影响。
陈中孚,伪湖北省政府委员、伪汉口特别市市长,1938-1945,湖北人，抗战期间在武汉伪政权任职，参与伪汉口特别市市政管理，协助日军实施物资配给与治安维持。
刘国钧,伪黄冈县维持会会长,1938-1945,湖北黄冈人，抗战期间在黄冈地区组织伪维持会，协助日军征粮、征夫，维持地方伪秩序，镇压抗日群众。
李宝琏,伪黄冈县县长,1938-1945,湖北黄冈人，抗战期间出任伪黄冈县县长，在黄冈地区推行伪政，配合日军扫荡抗日根据地，强征粮款。
赵文甫,伪红安县维持会会长,1938-1945,湖北红安人，抗战期间在红安地区组织伪维持会，协助日军统治，参与征粮、征丁，破坏抗日基层组织。
陈守方,伪黄安县县长,1938-1945,湖北黄安（今红安）人，抗战期间投敌，出任伪黄安县县长，在黄安地区推行伪化统治，协助日军镇压抗日力量。
熊剑东,伪黄卫军总司令、伪军将领,1940-1945,湖北黄冈人，原国民党军官，被俘后投敌，组建伪黄卫军，在湖北黄冈、红安一带配合日军扫荡抗日根据地，残害抗日军民。
邹平凡,伪黄卫军副总司令、伪军将领,1940-1945,湖北黄冈人，与熊剑东共同组建伪黄卫军，在黄冈、红安地区协助日军进行治安战，镇压抗日武装。
金亦吾,伪军师长、伪黄冈地区伪军头目,1940-1945,湖北黄冈人，抗战期间投敌，任伪军师长，在黄冈、红安一带活动，配合日军扫荡，掠夺民财。
王劲哉,伪军师长（后反正）,1940-1945,湖北人，原国民党将领，曾一度投敌任伪军师长，在湖北黄冈、红安地区活动，后反正继续抗日。
胡兰成,伪《大楚报》社长、伪宣传部次长,1940-1945,浙江人，汪伪政权文化汉奸，曾任伪《大楚报》社长，在武汉地区进行亲日宣传，为日军殖民统治制造舆论。
张资平,伪文化汉奸、伪《大楚报》编辑,1940-1945,广东人，作家，抗战期间投敌，在武汉参与伪文化宣传，为日军统治张目。
谢澄宇,伪湖北省政府教育厅厅长,1940-1945,湖北人，抗战期间在伪湖北省政府任职，推行奴化教育，篡改教材，向学生灌输亲日思想。
黄大中,伪湖北省政府财政厅厅长,1940-1945,湖北人，抗战期间在伪湖北省政府任职，协助日军掠夺湖北物资，推行伪币，压榨沦陷区民众。
