name,title,activity_period,notable_deeds
叶蓬,伪武汉特别市市长、伪湖北省政府主席、伪国民政府参军长,1939-1945,湖北黄陂人，抗战期间投靠汪伪政权，历任伪武汉特别市市长、伪湖北省政府主席等职，在湖北地区推行伪化统治，搜刮民财，配合日军清乡。
何佩瑢,伪湖北省政府省长、伪湖北省政府主席,1938-1942,湖北建始人，抗战期间投敌，任伪湖北省政府省长、主席，在武汉及湖北各地建立伪政权，协助日军维持占领区秩序。
杨揆一,伪湖北省政府主席、伪国民政府参谋总长,1942-1945,湖北鹤峰人，接替何佩瑢任伪湖北省政府主席，后任伪国民政府参谋总长，在湖北推行伪化政策，配合日军军事行动。
石星川,伪汉口特别市市长、伪湖北省政府委员,1938-1945,湖北阳新人，抗战期间投敌，任伪汉口特别市市长等职，在武汉地区协助日军管理市政、经济，镇压抗日活动。
张仁蠡,伪武汉特别市市长、伪天津特别市市长,1939-1945,河北南皮人，张之洞之子，抗战期间投靠汪伪，任伪武汉特别市市长，在武汉地区推行伪化统治，后调任伪天津特别市市长。
刘国钧,伪黄冈县维持会会长、伪黄冈县县长,1938-1945,黄冈本地人，抗战期间组织维持会，任伪黄冈县县长，协助日军征粮、拉夫，镇压当地抗日力量。
王寿山,伪蕲春县维持会会长、伪蕲春县县长,1938-1945,蕲春本地人，抗战期间投敌，任伪蕲春县维持会会长、县长，在蕲春地区为日军筹粮筹款，维持伪政权。
陈楚楠,伪黄冈县保安大队大队长,1939-1945,黄冈人，抗战期间任伪黄冈县保安大队大队长，率伪军配合日军扫荡黄冈、蕲春一带抗日根据地。
李宝琏,伪黄冈县警察局局长,1940-1945,黄冈人，抗战期间任伪黄冈县警察局局长，在黄冈地区搜捕抗日人员，镇压民众抗日活动。
赵文华,伪蕲春县保安团团长,1941-1945,蕲春人，抗战期间任伪蕲春县保安团团长，配合日军在蕲春、黄冈交界地区进行清乡扫荡。
孙嘉鼐,伪湖北省政府委员、伪汉口市市长,1938-1945,湖北人，抗战期间投敌，任伪湖北省政府委员、伪汉口市市长，在武汉地区协助日军推行经济统制。
涂允檀,伪湖北省政府委员、伪黄冈县县长,1939-1945,湖北人，抗战期间任伪湖北省政府委员，并曾兼任伪黄冈县县长，在黄冈地区推行伪化教育。
