name,title,activity_period,notable_deeds
叶蓬,伪武汉特别市市长、伪湖北省政府主席、伪国民政府参军长,1938-1945,湖北黄陂人，早年投靠日军，1938年武汉沦陷后出任伪武汉特别市市长，后任伪湖北省政府主席，协助日军推行治安强化运动，搜刮物资、镇压抗日力量。
何佩瑢,伪湖北省政府省长、伪湖北省政府主席,1938-1942,湖北黄冈人，日军侵占武汉后出面组织伪政权，任伪湖北省政府省长、主席，推行奴化教育，配合日军征粮征兵，1942年病死。
杨揆一,伪湖北省政府主席、伪国民政府参谋总长,1940-1945,湖北黄冈人，曾任伪湖北省政府主席，后调任伪南京政府参谋总长，参与伪军整编与对抗日根据地的扫荡。
石星川,伪湖北省政府副主席、伪汉口特别市市长,1938-1945,湖北黄冈人，武汉沦陷后附逆，任伪湖北省政府副主席、伪汉口特别市市长，协助日军维持殖民统治，掠夺经济资源。
雷寿荣,伪黄冈县维持会会长、伪黄冈县县长,1938-1945,黄冈本地士绅，日军侵占黄州后组织维持会，后任伪黄冈县县长，为日军征发民夫、粮食，镇压当地抗日活动。
王寿山,伪黄冈县保安大队大队长,1939-1945,黄冈人，组建伪保安大队配合日军扫荡，多次袭击新四军游击队，残害抗日群众。
李汉鹏,伪黄冈县警察局局长,1940-1945,黄冈人，任伪警察局长期间搜捕抗日人员，推行保甲连坐，协助日军维持黄州及周边治安。
陈守方,伪黄冈县教育科科长,1940-1945,黄冈人，在伪政权中负责教育，推行日语教学和奴化教育，篡改历史教材，为日军侵略辩护。
刘文岛,伪黄冈县商会会长,1939-1945,黄冈商人，出任伪商会会长，为日军筹款筹粮，控制物资流通，从中牟利并协助日军经济掠夺。
张启黄,伪黄冈县维持会副会长,1938-1940,黄冈人，协助雷寿荣组织维持会，为日军带路、指认抗日家属，参与迫害抗日人员。
