name,title,activity_period,notable_deeds
李树森,伪临湘县维持会会长、伪临湘县县长,1938-1945,日军侵占临湘后出面组织维持会，后任伪临湘县县长，为日军征粮派款、维持地方伪秩序。
王翦波,伪临湘县保安团团长,1939-1945,在临湘一带收编土匪武装，投靠日军，配合日军扫荡抗日根据地，残害抗日军民。
陈锡九,伪岳阳维持会会长,1938-1940,岳阳沦陷后组织维持会，为日军筹粮筹款、拉夫，协助日军建立伪政权。
周勉,伪岳阳县县长,1940-1945,任伪岳阳县县长期间，推行日军殖民统治政策，征发民夫、物资，配合日军清乡。
刘子明,伪岳阳警察局局长,1939-1945,掌控伪警察力量，搜捕抗日人员，镇压民众反抗，为日军提供情报。
张德胜,伪军保安队队长（岳阳地区）,1940-1945,率伪保安队在岳阳、临湘交界地区活动，配合日军扫荡，抢掠民财。
彭德怀,伪湖南维持会联合会成员（岳阳籍）,1939-1945,在湖南伪维持会系统中任职，协助日军在岳阳等地推行保甲连坐，镇压抗日活动。
唐生明,伪湖南省政府委员（后反正）,1943-1945,受重庆方面派遣打入汪伪政权，任伪湖南省政府委员等职，在湖南日占区活动，后率部反正。
黄子良,伪湘阴县县长（邻近岳阳）,1940-1945,在湘阴、岳阳交界地区任伪县长，为日军征粮、征夫，配合日军对洞庭湖区的扫荡。
李默庵,伪湖南清乡督办（后反正）,1943-1945,在汪伪政权中任湖南清乡督办，参与日军对湖南抗日根据地的清乡，后向国民政府投诚。
