name,title,activity_period,notable_deeds
李树森,伪岳阳维持会会长,1938-1940,日军侵占岳阳后出面组织伪维持会，协助日军维持占领秩序、征派民夫与物资。
周勉,伪岳阳县知事,1939-1943,在日军扶植下出任伪岳阳县政权头目，推行伪化统治，配合日军清乡与征粮。
刘子明,伪岳阳警察局局长,1940-1944,掌控伪警察力量，协助日军搜捕抗日人员、镇压民众反抗。
陈伯勋,伪湘阴县维持会会长,1939-1941,在湘阴一带组织伪维持会，为日军筹粮筹款、拉拢地方士绅附逆。
王德安,伪临湘县知事,1938-1942,日军占领临湘后出任伪县长，配合日军修筑据点、征发劳工。
张绍武,伪和平救国军湘北支队司令,1940-1944,率伪军在岳阳、临湘一带配合日军扫荡，袭击抗日游击队。
黄耀南,伪岳阳商会会长,1939-1943,以商会名义为日军筹措物资，协助日军对岳阳城区实行经济统制。
彭瑞堂,伪岳阳县教育科科长,1940-1944,推行奴化教育，在岳阳各校强制使用伪教材、宣传“大东亚共荣”。
何介夫,伪湘阴县保安团团长,1941-1944,统领伪保安团在湘阴、汨罗一带协助日军清乡，抓捕抗日群众。
吴建中,伪华容县维持会副会长,1940-1943,在洞庭湖区协助日军控制水路，为日军征集船只与粮秣。
