name,title,activity_period,notable_deeds
彭叫驴子,伪临澧县维持会会长,1943-1945,抗日战争后期在临澧县组织伪维持会，为日军征派粮秣、夫役，协助日军维持占领区秩序。
黄维国,伪常德县维持会会长,1943-1944,常德会战期间及之后，出面组织伪维持会，替日军筹集物资、安抚民众，协助日军控制常德城区。
聂光耀,伪常德县警察局局长,1943-1945,在日军占领常德期间出任伪警察局长，带领伪警察配合日军搜捕抗日人员、维持治安。
周佛海,汪伪政权行政院副院长、伪上海市长,1940-1945,湖南沅陵人，汪伪政权核心人物之一，参与对湖南等地的伪化宣传与策反活动，间接影响常德、临澧一带的伪政权建立。
唐生明,汪伪政权军事委员会委员、伪江苏省保安司令,1940-1945,湖南东安人，受重庆方面派遣打入汪伪内部，但在汪伪政权中担任要职，与湖南籍伪政权人员有联系，其活动范围涉及湖南。
叶蓬,汪伪政权陆军部长、伪湖北省长,1940-1945,湖北人，但活动范围覆盖湘北，与常德、临澧一带的伪军有联络，曾参与策动湖南伪军。
李长江,伪和平建国军第一集团军总司令,1941-1945,率部投敌后，其伪军势力曾扩展至湖南北部，与常德、临澧地区的伪政权有配合。
王劲哉,伪和平建国军师长,1943-1945,在湘北一带活动，曾配合日军对常德、临澧地区进行扫荡和伪化统治。
陈公博,汪伪政权立法院长、伪上海市长,1940-1945,汪伪政权要员，参与对湖南等地的伪化政策制定，其影响波及常德、临澧的伪政权运作。
褚民谊,汪伪政权外交部长,1940-1945,汪伪政权核心成员，参与对湖南等地的伪化宣传，间接影响常德、临澧地区的附逆分子。
