name,title,activity_period,notable_deeds
彭叫驴子,伪安乡县维持会会长,1943-1945,抗日战争时期在安乡县组织伪维持会，为日军征集物资、拉夫，协助日军维持占领区秩序。
周佛海,汪伪政权行政院副院长、财政部长,1940-1945,湖南沅陵人，汪伪政权核心人物之一，参与对湖南沦陷区的伪化统治与经济掠夺。
唐生明,汪伪政权军事委员会委员、伪清乡委员会要职,1940-1945,湖南东安人，受重庆方面派遣打入汪伪内部，但公开身份为汪伪高官，在湖南及沦陷区有一定影响。
黄子琪,伪常德县维持会会长,1943-1944,常德沦陷期间组织伪维持会，为日军提供情报、粮食和民夫，协助日军控制常德城区。
李树森,伪常德县警察局局长,1943-1945,在常德沦陷区担任伪警察头目，配合日军搜捕抗日人员，镇压民众反抗。
刘子清,伪安乡县保安团团长,1943-1945,率部投靠日军，编为伪保安团，在安乡、南县一带配合日军扫荡抗日武装。
张汉卿,伪湖南省政府委员,1944-1945,汪伪政权在湖南设立伪省政府时任职，参与推行伪化教育、征粮和治安强化运动。
陈焕章,伪岳阳维持会会长,1938-1945,岳阳沦陷后组织维持会，控制洞庭湖区域物资运输，为日军提供船只和情报，影响波及常德、安乡水路。
王劲哉,伪沔阳保安司令（后投日）,1943-1945,原国民党军将领，1943年被俘后投靠日军，在湖北、湖南交界地区组织伪军，活动范围接近常德、安乡。
潘佑强,伪湖南省教育厅厅长,1944-1945,在汪伪湖南省政府中负责教育，推行奴化教育，篡改教材，宣传“大东亚共荣”。
