name,title,activity_period,notable_deeds
唐生明,汪伪政府军事委员会委员、伪清乡委员会驻苏州办事处主任,1940-1945,湖南东安人，奉蒋介石、戴笠之命打入汪伪政权，表面任伪职，实际从事策反与情报工作，属潜伏性质，与株洲、攸县无直接活动关联。
周佛海,汪伪政府行政院副院长、财政部长、伪上海市长,1938-1945,湖南沅陵人，汪伪政权核心人物之一，参与对日妥协与伪政权建设，活动重心在南京、上海，与株洲、攸县无直接关联。
陈公博,汪伪政府立法院长、伪国民政府代主席,1938-1945,广东乳源人，汪伪政权主要头目之一，活动于南京、上海，与湖南株洲、攸县无直接关联。
李讴一,伪湖南省政府主席、伪武汉行营参议,1940-1945,湖南长沙人，曾任伪湖南省政府主席，参与日伪在湖南的统治，活动范围覆盖长沙及周边，与株洲、攸县地区有间接关联。
黄子琪,伪湖南省政府委员、伪长沙市市长,1940-1944,湖南长沙人，在日伪占领长沙期间任伪职，协助日军维持地方秩序，活动范围以长沙为中心，与株洲、攸县有地域邻近关联。
王劲哉,伪军头目（后反正）,1940-1943,原国民党军将领，后投靠日军任伪军师长，活动于湖北、湖南北部，与株洲、攸县无直接关联。
刘子清,伪攸县维持会会长,1944-1945,攸县本地人，1944年日军侵占攸县期间出面组织维持会，为日军筹粮、派夫、维持地方秩序，属当地直接附逆者。
谭某（名不详）,伪攸县保安队队长,1944-1945,攸县本地人，日军占领期间任伪保安队头目，协助日军搜捕抗日人员、征发民夫，具体姓名在地方史料中记载不全。
陈明仁（伪职者，非同名将领）,伪株洲维持会副会长,1944-1945,株洲本地人，1944年日军侵占株洲期间任伪维持会副会长，协助日军管理地方事务，与攸县有地域关联。
张德昌,伪湘潭县维持会会长,1944-1945,湘潭人，日军占领湘潭期间任伪维持会会长，活动范围与株洲、攸县邻近，属湖南地区附逆者。
