name,title,activity_period,notable_deeds
唐生智,未任伪职，但曾被日军利用进行劝降活动,1937-1938,南京保卫战后一度被日军俘虏，后被利用对湖南籍将领进行劝降宣传，但其本人未出任伪政权职务，情况存在争议。
叶德辉,湘潭劣绅、保甲维持会背景人物,1937-1944,湘潭地方劣绅，日军侵占湘潭期间与维持会势力有联系，协助征粮、派夫，压迫乡民。
王翦波,湘潭县维持会会长,1944-1945,日军占领湘潭后出面组织维持会，为日军筹粮、拉夫、维持地方伪秩序。
刘伯谦,湘潭县伪警察局局长,1944-1945,在日军控制下组建伪警察队伍，配合日军搜捕抗日人员、镇压民众。
张桂卿,湘潭地区伪军头目,1944-1945,收编地痞流氓组成伪军，配合日军扫荡湘潭周边乡村，抢掠民财。
李树森,湘潭县伪教育会负责人,1944-1945,在日军占领期间推行奴化教育，组织学校使用伪教材，宣传“中日亲善”。
周道南,长沙县维持会副会长，活动于湘潭周边,1944-1945,在长沙、湘潭交界地区协助日军建立伪政权，征调民夫、物资。
陈漱云,湘乡县维持会会长,1944-1945,湘乡沦陷后组织维持会，为日军提供情报和后勤支持。
黄少谷,湘潭县伪商会会长,1944-1945,控制湘潭商业，为日军采购军需物资，从中牟利并协助经济掠夺。
赵恒惕,未直接任伪职，但与日方有接触的湖南地方势力人物,1937-1945,湖南地方军阀，抗战期间曾与日方有暗中接触，但未公开投敌，情况复杂。
