name,title,activity_period,notable_deeds
唐生明,伪湖南省政府主席兼伪保安司令,1943-1945,原国民党将领，1943年投靠汪伪政权，任伪湖南省政府主席、伪保安司令等职，在湖南地区协助日军维持占领秩序，1945年后被蒋介石重新收编。
黄子琪,衡阳维持会会长,1944-1945,衡阳沦陷后出面组织维持会，为日军征集物资、拉夫、维持地方秩序，协助日军管理衡阳城区。
周佛海,汪伪政权财政部长、伪湖南省长（名义）,1940-1945,汪伪政权核心人物，虽主要在南京活动，但其伪政权体系覆盖湖南，对湖南伪政权人事与政策有直接影响。
李树森,伪衡阳县知事,1944-1945,衡阳沦陷后任伪衡阳县知事，配合日军推行保甲制度、征粮征夫，镇压抗日活动。
刘伯谦,伪衡阳警察局长,1944-1945,在衡阳沦陷期间担任伪警察局长，协助日军搜捕抗日分子、维持城区治安。
陈桂生,伪石鼓镇维持会会长,1944-1945,石鼓地区沦陷后组织维持会，为日军提供情报、物资，协助管理石鼓一带。
王德安,伪衡阳商会会长,1944-1945,衡阳沦陷后出面组织伪商会，为日军筹款筹粮，协助经济掠夺。
赵恒惕,伪湖南省政府顾问,1944-1945,原湖南军阀，晚年投靠日伪，任伪湖南省政府顾问，为日军统治湖南提供咨询。
彭寿松,伪衡阳教育会会长,1944-1945,在衡阳沦陷期间担任伪教育会会长，推行奴化教育，协助日军控制学校。
张慕先,伪衡阳保安团团长,1944-1945,组织伪保安团配合日军扫荡衡阳周边抗日武装，镇压民众反抗。
