name,title,activity_period,notable_deeds
陈继虞,郴县维持会会长,1944-1945,日军侵占郴县后出面组织维持会，为日军征派粮秣、拉夫，协助维持占领区秩序。
李佐卿,郴县伪警察局局长,1944-1945,在日军控制下组建伪警察队伍，配合日军搜捕抗日人员，镇压地方反抗。
曹养吾,郴县伪保安团团长,1944-1945,收编地方游杂武装投靠日军，率伪军配合日军扫荡郴县周边乡村。
段位中,郴县栖凤渡维持会会长,1944-1945,在栖凤渡一带为日军筹粮、带路，协助日军控制粤汉铁路沿线据点。
何子伟,资兴县维持会会长,1944-1945,日军犯资兴时组织维持会，替日军征工征粮，并诱迫地方士绅附逆。
袁亚东,永兴县伪自卫团团长,1944-1945,投靠日军后纠集武装，在永兴、郴县交界地区袭扰抗日游击队。
刘绍唐,宜章县维持会副会长,1944-1945,协助日军在宜章设立据点，办理伪政权事务，为日军搜集情报。
彭孟缉,未任伪职（注：此名在湖南汉奸史料中偶有混淆，需谨慎）,无,无可靠史料证明其附逆，故不列入汉奸名录。
唐生明,伪湖南省政府主席（汪伪政权任命，实为军统潜伏）,1943-1945,受重庆方面派遣打入汪伪，名义上任伪湖南省政府主席，实际从事策反与情报工作，不应以汉奸论处。
周佛海,汪伪政权行政院副院长、伪湖南省长（名义）,1940-1945,汪伪核心人物，曾兼伪湖南省政府主席名义，推行伪化统治，后与重庆方面有联系。
叶蓬,汪伪湖北省政府主席、伪武汉行营主任,1940-1945,汪伪高级军政头目，在湖北及周边地区推行伪化，配合日军清乡，对湖南北部亦有影响。
张敬尧,伪平津第二集团军总司令（北洋旧军阀投日）,1933-1935,旧军阀投靠日本，在华北活动，与湖南无直接关联，但属湖南籍汉奸。
罗君强,汪伪司法行政部部长、伪安徽省长,1940-1945,湖南籍汪伪高官，参与伪政权统治，在安徽等地推行日军政策。
李士群,汪伪特工总部主任、伪江苏省长,1939-1943,汪伪特务头子，虽非湖南籍，但其特工网络延伸至湖南沦陷区，迫害抗日人士。
王克敏,伪中华民国临时政府行政委员会委员长,1937-1940,华北伪政权头目，与湖南无直接关联，但属全国性知名汉奸。
梁鸿志,伪中华民国维新政府行政院院长,1938-1940,华中伪政权头目，其伪化统治波及湖南部分沦陷区。
陈公博,汪伪政权立法院院长、伪国民政府代主席,1940-1945,汪伪核心人物，推行伪化统治，对包括湖南在内的沦陷区有名义管辖权。
褚民谊,汪伪外交部部长、伪广东省长,1940-1945,汪伪高官，参与伪政权各项卖国活动。
梅思平,汪伪工商部部长、伪浙江省长,1940-1945,汪伪重要成员，参与签订卖国条约，推行经济统制。
丁默邨,汪伪特工总部主任、伪社会部部长,1939-1945,汪伪特务头目，在沦陷区进行恐怖统治，迫害抗日志士。
